from_combo,to_combo,1w_n,1w_mean,1w_median,1w_std,1w_win,1w_p25,1w_p75,2w_n,2w_mean,2w_median,2w_std,2w_win,2w_p25,2w_p75,1m_n,1m_mean,1m_median,1m_std,1m_win,1m_p25,1m_p75,2m_n,2m_mean,2m_median,2m_std,2m_win,2m_p25,2m_p75,events
无无无,无无正,7252,0.0026304830051201962,-0.0024040684234858944,0.07621002388982868,0.48000551571980143,-0.04022562414796424,0.03732032408992353,7244,0.009029994821737185,-0.0010586329533456285,0.1151354663564486,0.49268360022087243,-0.05429999593434501,0.05563357154946591,7201,0.02283896298541836,-0.0027510316368637433,0.17471109624648007,0.4899319538952923,-0.07741167129813431,0.084710743801653,7121,0.05281341779158826,0.007239819004524861,0.2565648079463571,0.5163600617890746,-0.09076369452219124,0.13555555555555565,7259
无无无,无无负,2816,0.003976735639329394,0.000668272536044956,0.06884115739435956,0.5003551136363636,-0.03334175935288172,0.03759185968267459,2804,0.009509423469033646,0.004233036498181408,0.0975322758669479,0.5192582025677603,-0.044879309077207385,0.055720744849876935,2756,0.014686792704463592,0.0,0.14670470776275937,0.4960087082728592,-0.07128792921018504,0.08142378536327849,2659,0.03866050528137011,0.009646302250803984,0.2191506479392768,0.529522376833396,-0.08472867299746573,0.11801520154750977,2822
无无无,无正无,6283,0.006714271101063969,0.0,0.06889786219530479,0.49387235397103296,-0.03159975036405255,0.03607111833958643,6266,0.011665166661541831,0.0,0.09810590026287873,0.4992020427705075,-0.04333282991976739,0.050642339069551234,6244,0.0207117039268859,-0.0017127355377959952,0.16159970416644442,0.49151185137732223,-0.06410062838191663,0.07600928088356929,6181,0.03151312025290085,-0.006738794117646885,0.22688929161180982,0.4798576282154991,-0.09774436090225569,0.10402355250245354,6303
无无无,无正正,1262,0.006600962208593846,-0.0031662077415119394,0.0819641819336572,0.46513470681458,-0.03621944915385736,0.03967279026810905,1262,0.012090299770817733,-0.004065886862278545,0.11968841855674622,0.4857369255150555,-0.047655913880050055,0.052433442783270556,1259,0.016680953829845604,-0.008435852372583597,0.16929189638096004,0.46386020651310567,-0.08013062125461773,0.07249433485199053,1256,0.03067828356525172,-0.01645868511110915,0.24772344930101248,0.4625796178343949,-0.1156120509968383,0.10727289945885021,1264
无无无,无负无,6982,0.0024047887528039413,0.0,0.061227711326260995,0.49641936407906045,-0.030274425454338033,0.03145318038850814,6972,0.009248056288083522,0.0010797543580691737,0.08922247581010391,0.5028686173264486,-0.04057196710867289,0.04760526118414132,6964,0.01926822875639614,0.0043274707782581245,0.13381147499373472,0.5156519241815049,-0.05618388447406633,0.07516049131112967,6876,0.04262983184560367,0.014966347040383576,0.21401635362946034,0.547847585805701,-0.0704783374089257,0.11366329168461864,6992
无无无,无负正,3,-0.053863121736965947,-0.032835820895522394,0.058711025732172795,0.0,-0.07651406429391505,-0.020698528759295065,2,-0.07119553332239897,-0.07119553332239897,0.06832060230285135,0.0,-0.0953505139139467,-0.047040552730851254,2,-0.06522640916297634,-0.06522640916297634,0.032994740523096325,0.0,-0.07689181154666233,-0.05356100677929035,2,-0.1223566234760265,-0.1223566234760265,0.10698996076063796,0.0,-0.16018328686239136,-0.08452996008966163,3
无无无,无负负,583,0.0011101540737688874,-0.0025085518814138563,0.06301487507051072,0.46826758147512865,-0.034737850185875385,0.03561987869085892,583,0.013331896432451189,0.010173121542031094,0.08527828276146947,0.5471698113207547,-0.04006351321450896,0.05609647333244261,582,0.021176092956542675,0.008521941428311086,0.12709260193534608,0.5309278350515464,-0.06055116381203332,0.08593245220630163,566,0.05137829294224976,0.026060548809754835,0.17183047681411642,0.5795053003533569,-0.06359041568906762,0.1331240728661286,585
无无无,正无无,55657,0.005859983528414337,0.0,0.06557119349587746,0.49537344808379896,-0.027661993179234567,0.029780564263323095,55513,0.010482005230197025,0.0028818443804032867,0.09300380127416331,0.5170140327490858,-0.0390334572490707,0.046979865771812124,54997,0.022961701264885313,0.006485849056603765,0.14706833471209008,0.5258468643744204,-0.0576923076923076,0.07886754297269949,54180,0.044285605892876556,0.008735744265909173,0.22296123466591597,0.5241786637135475,-0.07999999999999996,0.12005370983824903,55785
无无无,正无正,2999,0.007637605178267428,0.0013667425968109104,0.07902357163621136,0.5105035011670557,-0.03692657839028446,0.040865745095633454,2993,0.012908124285442326,0.0012987012987013546,0.11454396741766193,0.5075175409288339,-0.05434782608695654,0.06218592964824121,2960,0.029993889692637155,0.00389470856835894,0.17486253154459935,0.5121621621621621,-0.0761710710111462,0.1015051392424911,2931,0.06936167642534997,0.01667550327980094,0.27657393093376414,0.539065165472535,-0.09060696953080888,0.16287610376385342,3005
无无无,正无负,9,0.06358411829147582,0.06413994169096204,0.11231027439271013,0.7777777777777778,0.01742627345844494,0.0818385650224216,9,0.024323950685257428,0.02252010723860587,0.10733423389845445,0.5555555555555556,-0.04950495049504955,0.0745283018867926,9,0.023543641717645867,0.02815013404825728,0.16380442965673503,0.5555555555555556,-0.09452736318407962,0.11547085201793728,9,-0.08622998381108041,-0.09918699186991875,0.22013388545208265,0.3333333333333333,-0.22263868065967019,0.012868632707774719,9
无无无,正正无,11188,0.008090313103550083,-0.0014117725219239263,0.07856738406479362,0.4839113335716839,-0.031916739262037225,0.03269754768392358,11138,0.011945182122677462,0.0007527287479490719,0.11440441334994066,0.5014365236128568,-0.04441581665767119,0.04726277638174681,11083,0.019770081742428728,0.00036563071298001404,0.16052156180715113,0.5003157989713977,-0.06603492979246406,0.07479093219805866,10974,0.037181114108396515,-0.00045849249323759445,0.2462898923152988,0.49763076362310915,-0.09462766962766958,0.11593282025578983,11209
无无无,正正正,3008,0.014543542738583753,0.0029719531239458252,0.10956722153839962,0.5152925531914894,-0.03733559833754596,0.04768963463415837,3005,0.02182599925475177,0.0026923939869867297,0.14410302794477237,0.5098169717138104,-0.05067755708186372,0.067821067821068,2994,0.03309153112028548,0.0,0.19791741118209338,0.49966599866399464,-0.07657127905821265,0.10106206452789723,2975,0.0643834939331011,0.004215851602023646,0.2890535655338764,0.508235294117647,-0.10341199358935044,0.15219875857142862,3012
无无无,正负无,5,-0.06596161890818777,-0.04802955665024611,0.08905409665182155,0.2,-0.08888888888888902,-0.017509727626459193,5,-0.018202322128777416,-0.025213675213675124,0.0364571987370027,0.4,-0.028325123152709297,0.006864988558352492,5,0.030808763079665357,0.03325123152709364,0.043853752826772716,0.6,-0.007407407407407307,0.054474708171206254,5,0.08962893860110921,0.0632295719844358,0.12952229329237128,0.8,0.021481481481481435,0.16730520000000015,5
无无无,负无无,58085,0.0021366057360047304,-0.0006793478260869179,0.05958318760731226,0.48890419213222003,-0.028818443804034644,0.02931034482758621,57810,0.004671771918090718,-0.002189573437381964,0.08574769963618112,0.4813700051894136,-0.04166666666666674,0.04157899307058982,57337,0.012908696527026505,-0.002589555459646231,0.1309113304527831,0.48600380208242494,-0.060507737288739816,0.06632653061224492,56943,0.03335661926681702,0.0010699338235293787,0.20694090363955886,0.5019229756071861,-0.08344828373500962,0.10847256307717312,58448
无无无,负无正,5,-0.009522268081704467,0.009905076351630182,0.05514479280944181,0.6,-0.0434782608695653,0.03064351378958108,5,-0.02408964883409579,-0.03425505571605458,0.10597974049338264,0.4,-0.062318840579710155,0.054136874361593534,5,0.06131164514911245,0.1210418794688457,0.16948029990271185,0.6,-0.04492753623188406,0.19611558503079118,5,0.05202967441777904,0.049275362318840665,0.14476299480236246,0.8,0.022264329701563224,0.12216260833677284,5
