symbol,name,theme,benchmark,invest_type,management,list_date,delist_date,list_status,m_fee,c_fee,scale_yi,scale_reliable,n_qualify_years,first_qualify_year,last_qualify_year,peak_year,peak_avg_daily_yi,latest_year,latest_avg_daily_yi,theme_representative,theme_norm,sector
159622.SZ,东财中证沪港深创新药产业ETF,中证沪港深创新药产业,中证沪港深创新药产业指数收益率×100%,被动指数型,东财基金管理有限公司,20230509,nan,L,0.5,0.05,13.26,Y,1,2026,2026,2026,0.9259,2026,0.9259,Y,中证沪港深创新药产业,创新药
513080.SH,华安法国CAC40ETF(QDII),法国CAC40,法国CAC40指数收益率(经汇率调整后)×100%,被动指数型,华安基金管理有限公司,20200612,nan,L,0.5,0.15,11.79,Y,2,2025,2026,2025,4.8746,2026,0.9224,Y,法国CAC40,法国CAC40
513970.SH,景顺长城恒生消费ETF(QDII),恒生消费,恒生消费指数收益率(使用估值汇率折算)×100%,被动指数型,景顺长城基金管理有限公司,20230421,nan,L,0.5,0.15,11.43,Y,2,2025,2026,2025,1.467,2026,0.9078,Y,恒生消费,跨境-港股消费
159929.SZ,汇添富中证医药卫生ETF,中证医药卫生,中证医药卫生指数×100%,被动指数型,汇添富基金管理股份有限公司,20130916,nan,L,0.5,0.1,21.8,Y,4,2023,2026,2026,0.8899,2026,0.8899,Y,中证医药卫生,医药生物
520830.SH,华泰柏瑞南方东英沙特阿拉伯ETF(QDII),富时沙特阿拉伯,富时沙特阿拉伯指数收益率(使用估值汇率折算)×100%,被动指数型,华泰柏瑞基金管理有限公司,20240716,nan,L,0.5,0.1,9.87,Y,3,2024,2026,2025,4.2347,2026,0.863,Y,富时沙特阿拉伯,富时沙特阿拉伯
159831.SZ,嘉实上海金ETF,上海黄金交易所上海金集中定价合约的午盘基准价格,上海黄金交易所上海金集中定价合约的午盘基准价格收益率×100%,黄金现货合约,嘉实基金管理有限公司,20220407,nan,L,0.5,0.1,21.9,Y,1,2026,2026,2026,0.8498,2026,0.8498,Y,上海金集中定价,黄金
159830.SZ,天弘上海金ETF,上海黄金交易所上海金集中定价合约午盘基准价,上海黄金交易所上海金集中定价合约午盘基准价×100%,黄金现货合约,天弘基金管理有限公司,20210719,nan,L,0.25,0.05,33.27,Y,1,2026,2026,2026,0.8437,2026,0.8437,Y,上海金集中定价,黄金
159692.SZ,东财中证证券公司30ETF,中证证券公司30,中证证券公司30指数收益率×100%,被动指数型,东财基金管理有限公司,20230523,nan,L,0.5,0.05,18.45,Y,1,2026,2026,2026,0.8407,2026,0.8407,Y,中证证券公司30,证券
563380.SH,华泰柏瑞中证全指航空航天ETF,中证全指航空航天,中证全指航空航天指数收益率×100%,被动指数型,华泰柏瑞基金管理有限公司,20251107,nan,L,0.5,0.1,8.37,Y,1,2026,2026,2026,0.8373,2026,0.8373,Y,中证全指航空航天,中证全指航空航天
159207.SZ,广发中证智选高股息策略ETF,中证智选高股息策略,中证智选高股息策略指数收益率×100%,被动指数型,广发基金管理有限公司,20250409,nan,L,0.15,0.05,25.51,Y,1,2026,2026,2026,0.835,2026,0.835,Y,中证智选高股息策略,红利策略
159128.SZ,天弘国证港股通科技ETF,国证港股通科技,国证港股通科技指数收益率(经估值汇率调整)×100%,被动指数型,天弘基金管理有限公司,20251113,nan,L,0.5,0.1,13.73,Y,1,2026,2026,2026,0.8342,2026,0.8342,Y,国证港股通科技,跨境-港股科技
560050.SH,汇添富MSCI中国A50互联互通ETF,MSCI中国A50互联互通人民币,MSCI中国A50互联互通人民币指数收益率×100%,被动指数型,汇添富基金管理股份有限公司,20211108,nan,L,0.5,0.1,23.92,Y,5,2022,2026,2022,6.542,2026,0.8317,Y,MSCI中国A50互联互通人民币,MSCI中国A50互联互通人民币
510230.SH,国泰上证180金融ETF,上证180金融股,上证180金融股指数×100%,被动指数型,国泰基金管理有限公司,20110523,nan,L,0.5,0.1,8.99,Y,8,2014,2026,2015,4.9995,2026,0.829,Y,上证180金融股,上证180金融股
513550.SH,华泰柏瑞中证港股通50ETF,中证港股通50,中证港股通50指数收益率(使用估值汇率折算)×100%,被动指数型,华泰柏瑞基金管理有限公司,20210113,nan,L,0.5,0.1,18.98,Y,6,2021,2026,2021,2.4535,2026,0.8281,Y,中证港股通50,中证港股通50
159997.SZ,天弘中证电子ETF,中证电子,中证电子指数收益率×100%,被动指数型,天弘基金管理有限公司,20200320,nan,L,0.5,0.1,14.98,Y,4,2020,2026,2026,0.8255,2026,0.8255,Y,中证电子,消费电子
159750.SZ,招商中证香港科技ETF(QDII),中证香港科技,中证香港科技指数收益率(经汇率调整后)×100%,被动指数型,招商基金管理有限公司,20220214,nan,L,0.5,0.15,10.8,Y,2,2025,2026,2025,1.2315,2026,0.8207,Y,中证香港科技,跨境-港股科技
159698.SZ,鹏华国证粮食产业ETF,国证粮食产业,国证粮食产业指数收益率×100%,被动指数型,鹏华基金管理有限公司,20230818,nan,L,0.5,0.1,15.35,Y,1,2026,2026,2026,0.8092,2026,0.8092,Y,国证粮食产业,农业养殖
561580.SH,华泰柏瑞中证中央企业红利ETF,中证中央企业红利,中证中央企业红利指数收益率×100%,被动指数型,华泰柏瑞基金管理有限公司,20230530,nan,L,0.5,0.1,24.62,Y,2,2023,2026,2026,0.8075,2026,0.8075,Y,中证中央企业红利,红利策略
159628.SZ,万家国证2000ETF,国证2000,国证2000指数收益率×100%,被动指数型,万家基金管理有限公司,20220718,nan,L,0.5,0.1,4.57,Y,4,2023,2026,2024,1.2693,2026,0.7763,Y,国证2000,国证2000
513360.SH,博时中证全球中国教育主题ETF(QDII),中证全球中国教育主题,中证全球中国教育主题指数×100%,被动指数型,博时基金管理有限公司,20210617,nan,L,0.5,0.15,2.94,Y,5,2022,2026,2025,2.5555,2026,0.7563,Y,中证全球中国教育主题,中证全球中国教育主题
515650.SH,富国中证消费50ETF,中证消费50,中证消费50指数收益率×100%,被动指数型,富国基金管理有限公司,20191111,nan,L,0.5,0.1,32.74,Y,6,2021,2026,2026,0.7538,2026,0.7538,Y,中证消费50,食品饮料
159638.SZ,嘉实中证智选航空航天科技ETF,中证智选航空航天科技,中证智选航空航天科技指数收益率×100%,被动指数型,嘉实基金管理有限公司,20220812,nan,L,0.5,0.1,12.33,Y,4,2022,2026,2022,1.3753,2026,0.744,Y,中证智选航空航天科技,航天航空卫星
