symbol,name,theme,benchmark,invest_type,management,list_date,delist_date,list_status,m_fee,c_fee,scale_yi,scale_reliable,n_qualify_years,first_qualify_year,last_qualify_year,peak_year,peak_avg_daily_yi,latest_year,latest_avg_daily_yi,theme_representative,theme_norm,sector
511360.SH,海富通中证短融ETF,中证短融,中证短融指数收益率×100%,被动指数型,海富通基金管理有限公司,20200925,nan,L,0.15,0.05,838.53,Y,6,2021,2026,2026,357.3249,2026,357.3249,Y,中证短融,中证短融
511380.SH,博时中证可转债及可交换债券ETF,中证可转债及可交换债券,中证可转债及可交换债券指数收益率×100%,被动指数型,博时基金管理有限公司,20200407,nan,L,0.15,0.05,622.12,Y,7,2020,2026,2026,102.4937,2026,102.4937,Y,中证可转债及可交换债券,中证可转债及可交换债券
511100.SH,华夏上证基准做市国债ETF,上证基准做市国债,上证基准做市国债指数收益率×100%,被动指数型,华夏基金管理有限公司,20231225,nan,L,0.15,0.05,121.75,Y,3,2024,2026,2026,98.8689,2026,98.8689,Y,上证基准做市国债,上证基准做市国债
513310.SH,华泰柏瑞中证韩交所中韩半导体ETF(QDII),中证韩交所中韩半导体,中证韩交所中韩半导体指数收益率×100%,被动指数型,华泰柏瑞基金管理有限公司,20221222,nan,L,0.8,0.15,116.76,Y,3,2024,2026,2026,92.4281,2026,92.4281,Y,中证韩交所中韩半导体,中证韩交所中韩半导体
551550.SH,华夏中证AAA科技创新公司债ETF,中证AAA科技创新公司债,中证AAA科技创新公司债指数收益率×100%,被动指数型,华夏基金管理有限公司,20250717,nan,L,0.15,0.05,181.52,Y,2,2025,2026,2026,81.3925,2026,81.3925,Y,中证AAA科技创新公司债,中证AAA科技创新公司债
551030.SH,鹏华上证AAA科技创新公司债ETF,上证AAA科技创新公司债,上证AAA科技创新公司债指数收益率×100%,被动指数型,鹏华基金管理有限公司,20250717,nan,L,0.15,0.05,186.9,Y,2,2025,2026,2026,71.5726,2026,71.5726,Y,上证AAA科技创新公司债,上证AAA科技创新公司债
511070.SH,南方上证基准做市公司债ETF,上证基准做市公司债,上证基准做市公司债指数收益率×100%,被动指数型,南方基金管理股份有限公司,20250122,nan,L,0.15,0.05,300.63,Y,2,2025,2026,2026,70.2475,2026,70.2475,Y,上证基准做市公司债,上证基准做市公司债
563360.SH,华泰柏瑞中证A500ETF,中证A500,中证A500指数收益率×100%,被动指数型,华泰柏瑞基金管理有限公司,20241015,nan,L,0.15,0.05,409.36,Y,2,2025,2026,2026,63.4755,2026,63.4755,Y,中证A500,中证A500
588000.SH,华夏上证科创板50成份ETF,上证科创板50成份,上证科创板50成份指数收益率×100%,被动指数型,华夏基金管理有限公司,20201116,nan,L,0.15,0.05,898.11,Y,6,2021,2026,2026,61.7833,2026,61.7833,Y,上证科创板50成份,上证科创板50成份
510300.SH,华泰柏瑞沪深300ETF,沪深300,沪深300指数×100%,被动指数型,华泰柏瑞基金管理有限公司,20120528,nan,L,0.15,0.05,1101.16,Y,14,2013,2026,2026,59.3494,2026,59.3494,Y,沪深300,沪深300
