symbol,name,theme,benchmark,invest_type,management,list_date,delist_date,list_status,m_fee,c_fee,scale_yi,scale_reliable,n_qualify_years,first_qualify_year,last_qualify_year,peak_year,peak_avg_daily_yi,latest_year,latest_avg_daily_yi,theme_representative,theme_norm,sector
510050.SH,华夏上证50ETF,上海证券交易所50成份,上海证券交易所50成份指数×100%,被动指数型,华夏基金管理有限公司,20050223,nan,L,0.15,0.05,206.6,Y,14,2013,2026,2015,36.262,2026,29.2499,Y,上证50,上证50
511580.SH,招商中证国债及政策性金融债0-3年ETF,中证国债及政策性金融债0-3年,中证国债及政策性金融债0-3年指数收益率×100%,被动指数型,招商基金管理有限公司,20221214,nan,L,0.15,0.05,76.87,Y,4,2023,2026,2026,28.5574,2026,28.5574,Y,中证国债及政策性金融债0-3年,中证国债及政策性金融债0-3年
159398.SZ,天弘深证基准做市信用债ETF,深证基准做市信用债,深证基准做市信用债指数收益率×100%,被动指数型,天弘基金管理有限公司,20250206,nan,L,0.15,0.05,90.35,Y,2,2025,2026,2025,26.1189,2026,25.6932,Y,深证基准做市信用债,深证基准做市信用债
511130.SH,博时上证30年期国债ETF,上证30年期国债,上证30年期国债指数收益率×100%,被动指数型,博时基金管理有限公司,20240328,nan,L,0.15,0.05,209.55,Y,3,2024,2026,2025,29.9843,2026,25.2042,Y,上证30年期国债,上证30年期国债
511180.SH,海富通上证投资级可转债及可交换债券ETF,上证投资级可转债及可交换债券,上证投资级可转债及可交换债券指数收益率×100%,被动指数型,海富通基金管理有限公司,20200826,nan,L,0.25,0.05,125.3,Y,5,2022,2026,2026,24.919,2026,24.919,Y,上证投资级可转债及可交换债券,上证投资级可转债及可交换债券
513050.SH,易方达中证海外中国互联网50ETF(QDII),中证海外中国互联网50,中证海外中国互联网50指数(人民币)×100%,被动指数型,易方达基金管理有限公司,20170118,nan,L,0.6,0.2,370.24,Y,7,2020,2026,2025,27.182,2026,23.586,Y,中证海外中国互联网50,跨境-中概互联
512880.SH,国泰中证全指证券公司ETF,中证全指证券公司,中证全指证券公司指数×100%,被动指数型,国泰基金管理有限公司,20160808,nan,L,0.5,0.1,626.69,Y,9,2018,2026,2025,22.3655,2026,22.1258,Y,中证全指证券公司,中证全指证券公司
511520.SH,富国中债7-10年政策性金融债ETF,中债7-10年政策性金融债,中债7-10年政策性金融债指数×100%,被动指数型,富国基金管理有限公司,20221025,nan,L,0.15,0.05,453.65,Y,4,2023,2026,2024,67.5209,2026,19.6038,Y,中债7-10年政策性金融债,中债7-10年政策性金融债
159949.SZ,华安创业板50ETF,创业板50,创业板50指数×100%,被动指数型,华安基金管理有限公司,20160722,nan,L,0.5,0.1,249.45,Y,9,2018,2026,2026,19.4048,2026,19.4048,Y,创业板50,创业板50
511270.SH,海富通上证10年期地方政府债ETF,上证10年期地方政府债,上证10年期地方政府债指数收益率×100%,被动指数型,海富通基金管理有限公司,20181122,nan,L,0.15,0.05,108.7,Y,5,2022,2026,2026,17.189,2026,17.189,Y,上证10年期地方政府债,上证10年期地方政府债
512480.SH,国联安中证全指半导体产品与设备ETF,中证全指半导体产品与设备,中证全指半导体产品与设备指数收益率×100%,被动指数型,国联安基金管理有限公司,20190612,nan,L,0.5,0.1,202.27,Y,7,2020,2026,2026,16.758,2026,16.758,Y,中证全指半导体产品与设备,中证全指半导体产品与设备
