symbol,name,theme,year,bars,avg_daily_amount_yi,qualifies
159029.SZ,广发中证有色金属矿业主题ETF,中证有色金属矿业主题,2026,89,0.2099,
159030.SZ,华夏国证粮食产业ETF,国证粮食产业,2026,96,0.262,
159031.SZ,博时国证粮食产业ETF,国证粮食产业,2026,82,0.0811,
159032.SZ,易方达中证工业有色金属主题ETF,中证工业有色金属主题,2026,95,0.1821,
159033.SZ,国泰国证粮食产业ETF,国证粮食产业,2026,78,0.2959,
159035.SZ,天弘中证软件服务ETF,中证软件服务,2026,93,0.1241,
159036.SZ,华宝中证全指软件开发ETF,中证全指软件开发,2026,74,0.1917,
159037.SZ,鹏华国证价值100ETF,国证价值100,2026,74,0.0493,
159038.SZ,易方达国证粮食产业ETF,国证粮食产业,2026,89,0.1735,
159039.SZ,华安国证机器人产业ETF,国证机器人产业,2026,69,0.5568,Y
159040.SZ,鹏华中证港股通互联网ETF,中证港股通互联网,2026,64,0.1652,
159041.SZ,鹏华中证农业主题ETF,中证农业主题,2026,75,0.0596,
159042.SZ,汇添富国证价值100ETF,国证价值100,2026,76,0.0503,
159045.SZ,大成中证稀有金属主题ETF,中证稀有金属主题,2026,66,0.091,
159046.SZ,天弘国证绿色电力ETF,国证绿色电力,2026,74,0.1578,
159048.SZ,大成国证机器人产业ETF,国证机器人产业,2026,75,0.2162,
159050.SZ,广发国证机器人产业ETF,国证机器人产业,2026,76,0.4504,
159051.SZ,易方达中证全指医疗器械ETF,中证全指医疗器械,2026,76,0.0505,
159052.SZ,嘉实国证储能电池ETF,国证储能电池,2026,74,0.0993,
159053.SZ,华夏中证稀有金属主题ETF,中证稀有金属主题,2026,76,0.2304,
159055.SZ,富国中证稀有金属主题ETF,中证稀有金属主题,2026,76,0.1622,
159056.SZ,富国中证全指医疗器械ETF,中证全指医疗器械,2026,76,0.0976,
159057.SZ,鹏华中证全指医疗器械ETF,中证全指医疗器械,2026,72,0.0391,
159060.SZ,浦银国证粮食产业ETF,国证粮食产业,2026,75,0.0612,
159061.SZ,南方国证绿色电力ETF,国证绿色电力,2026,66,0.074,
159062.SZ,南方中证稀有金属主题ETF,中证稀有金属主题,2026,69,0.1637,
159063.SZ,南方国证粮食产业ETF,国证粮食产业,2026,72,0.1487,
159065.SZ,景顺长城中证工程机械主题ETF,中证工程机械主题,2026,64,0.0434,
159070.SZ,嘉实中证工程机械主题ETF,中证工程机械主题,2026,64,0.068,
159071.SZ,华宝国证储能电池ETF,国证储能电池,2026,69,0.1284,
159100.SZ,华夏布拉德斯科巴西伊博维斯帕ETF(QDII),经估值汇率调整后的巴西伊博维斯帕,2026,177,2.458,Y
159101.SZ,华夏国证港股通科技ETF,经估值汇率调整后的国证港股通科技,2025,80,3.1771,Y
159101.SZ,华夏国证港股通科技ETF,经估值汇率调整后的国证港股通科技,2026,177,3.1704,Y
159102.SZ,华安恒生生物科技ETF,恒生生物科技,2025,71,0.4434,
159102.SZ,华安恒生生物科技ETF,恒生生物科技,2026,177,0.4751,
159103.SZ,汇添富中证金融科技主题ETF,中证金融科技主题,2025,75,0.173,
159103.SZ,汇添富中证金融科技主题ETF,中证金融科技主题,2026,177,0.0901,
159105.SZ,易方达恒生生物科技ETF,恒生生物科技,2026,177,1.1153,Y
159106.SZ,前海开源中证民企300ETF,中证民企300,2026,177,0.0297,
159107.SZ,富国创业板软件ETF,创业板软件,2025,67,0.2085,
159107.SZ,富国创业板软件ETF,创业板软件,2026,177,0.7674,Y
159108.SZ,博时国证工业软件主题ETF,国证工业软件主题,2026,177,0.1178,
159109.SZ,景顺长城恒生港股通50ETF,恒生港股通50,2026,177,0.1642,
159110.SZ,万家深证AAA科技创新公司债ETF,深证AAA科技创新公司债,2025,65,9.5741,Y
159110.SZ,万家深证AAA科技创新公司债ETF,深证AAA科技创新公司债,2026,177,10.8976,Y
159111.SZ,天弘中证AAA科技创新公司债ETF,中证AAA科技创新公司债,2025,65,42.2795,Y
159111.SZ,天弘中证AAA科技创新公司债ETF,中证AAA科技创新公司债,2026,177,40.9074,Y
159112.SZ,银华中证AAA科技创新公司债ETF,中证AAA科技创新公司债,2025,65,33.9894,Y
159112.SZ,银华中证AAA科技创新公司债ETF,中证AAA科技创新公司债,2026,177,45.7067,Y
159113.SZ,大成中证AAA科技创新公司债ETF,中证AAA科技创新公司债,2025,65,34.2988,Y
159113.SZ,大成中证AAA科技创新公司债ETF,中证AAA科技创新公司债,2026,177,25.633,Y
159115.SZ,华安中证AAA科技创新公司债ETF,中证AAA科技创新公司债,2025,65,46.8615,Y
159115.SZ,华安中证AAA科技创新公司债ETF,中证AAA科技创新公司债,2026,177,24.6425,Y
159116.SZ,工银瑞信中证AAA科技创新公司债ETF,中证AAA科技创新公司债,2025,65,51.7247,Y
159116.SZ,工银瑞信中证AAA科技创新公司债ETF,中证AAA科技创新公司债,2026,177,42.0337,Y
159117.SZ,鹏华标普港股通低波红利ETF,标普港股通低波红利,2026,177,0.0446,
159118.SZ,华夏标普港股通低波红利ETF,经估值汇率调整后的标普港股通低波红利,2026,177,0.0555,
159119.SZ,招商中证800自由现金流ETF,中证800自由现金流,2026,177,0.0917,
159120.SZ,国联安恒生港股通科技主题ETF,经估值汇率折算后的恒生港股通科技主题,2026,177,0.2242,
159121.SZ,易方达恒生港股通汽车主题ETF,恒生港股通汽车主题,2026,177,0.2018,
159122.SZ,富国创业板新能源ETF,创业板新能源,2026,177,0.045,
159123.SZ,嘉实中证光伏产业ETF,中证光伏产业,2026,177,0.127,
159125.SZ,招商国证港股通科技ETF,经汇率调整后的国证港股通科技,2026,177,0.4055,
159126.SZ,南方中证港股通50ETF,中证港股通50,2026,177,0.1335,
159127.SZ,南方中证港股通高股息投资ETF,中证港股通高股息投资,2026,177,0.1366,
159128.SZ,天弘国证港股通科技ETF,国证港股通科技,2026,177,0.8342,Y
159129.SZ,嘉实中证细分化工产业主题ETF,中证细分化工产业主题,2026,177,0.498,
159130.SZ,鹏华恒生生物科技ETF,恒生生物科技,2026,177,0.1536,
159131.SZ,华宝中证港股通信息技术综合ETF,经人民币汇率调整的中证港股通信息技术综合,2026,177,11.1753,Y
159132.SZ,富国恒生生物科技ETF,恒生生物科技,2026,174,0.2931,
159133.SZ,天弘中证细分化工产业主题ETF,中证细分化工产业主题,2026,177,0.5031,Y
159135.SZ,前海开源恒生港股通科技主题ETF,恒生港股通科技主题,2026,150,0.1498,
159136.SZ,广发中证A50ETF,中证A50,2026,177,0.0242,
159137.SZ,华宝中证港股通医疗主题ETF,经人民币汇率调整的中证港股通医疗主题,2026,172,0.5503,Y
159138.SZ,易方达中证工程机械主题ETF,中证工程机械主题,2026,171,0.1381,
159139.SZ,华泰柏瑞中证科创创业人工智能ETF,中证科创创业人工智能,2026,177,0.4326,
