symbol,year,bars,avg_daily_amount_yi,total_amount_yi
589010.SH,2026,177,1.204,213.11
159215.SZ,2025,183,0.4627,84.67
159215.SZ,2026,177,0.2017,35.69
159390.SZ,2025,181,0.2747,49.71
159390.SZ,2026,177,0.1139,20.17
563650.SH,2025,184,0.1419,26.11
563650.SH,2026,177,0.0972,17.2
588170.SH,2025,182,2.3095,420.33
588170.SH,2026,177,33.3656,5905.72
588910.SH,2025,183,0.2347,42.95
588910.SH,2026,177,0.1637,28.98
563660.SH,2025,185,0.1153,21.33
563660.SH,2026,177,0.0635,11.24
560630.SH,2025,186,0.1567,29.14
560630.SH,2026,177,0.1277,22.61
589060.SH,2025,189,0.096,18.14
589060.SH,2026,177,0.0722,12.79
159316.SZ,2025,190,4.2604,809.48
159316.SZ,2026,177,7.7579,1373.14
159381.SZ,2025,192,1.469,282.05
159381.SZ,2026,177,4.6721,826.97
588770.SH,2025,192,0.1076,20.66
588770.SH,2026,177,0.2588,45.81
159368.SZ,2025,192,0.3543,68.02
159368.SZ,2026,177,1.8996,336.23
159209.SZ,2025,191,0.2052,39.2
159209.SZ,2026,177,1.0313,182.54
588250.SH,2025,193,0.1962,37.86
588250.SH,2026,177,0.1068,18.91
159206.SZ,2025,198,1.3204,261.44
159206.SZ,2026,177,13.9532,2469.71
589520.SH,2025,199,0.274,54.52
589520.SH,2026,177,0.4633,82.0
562810.SH,2025,199,0.0655,13.04
562810.SH,2026,177,0.0477,8.44
589630.SH,2025,200,0.6533,130.66
589630.SH,2026,177,0.3523,62.35
588660.SH,2025,197,0.1175,23.15
588660.SH,2026,177,0.0624,11.04
589600.SH,2025,203,0.3169,64.33
589600.SH,2026,177,0.1238,21.91
589000.SH,2025,205,1.3258,271.79
589000.SH,2026,177,1.3054,231.05
589990.SH,2025,205,0.1659,34.0
589990.SH,2026,177,0.0837,14.82
513830.SH,2025,203,0.1558,31.63
513830.SH,2026,177,0.0397,7.04
589770.SH,2025,205,0.4923,100.92
589770.SH,2026,177,0.2076,36.74
589660.SH,2025,205,0.5481,112.35
589660.SH,2026,177,0.5403,95.64
588840.SH,2025,202,0.0957,19.32
588840.SH,2026,177,0.0772,13.66
589680.SH,2025,205,1.3629,279.4
589680.SH,2026,177,1.482,262.32
589890.SH,2025,205,0.3169,64.97
589890.SH,2026,177,0.1496,26.48
589900.SH,2025,205,0.674,138.17
589900.SH,2026,177,0.2316,41.0
589860.SH,2025,205,0.7952,163.01
589860.SH,2026,177,0.3013,53.34
589080.SH,2025,205,0.4087,83.78
589080.SH,2026,177,0.3027,53.58
159393.SZ,2025,202,0.3288,66.42
159393.SZ,2026,177,0.2752,48.71
589800.SH,2025,206,1.3777,283.8
589800.SH,2026,177,1.1688,206.87
589500.SH,2025,207,0.3108,64.33
589500.SH,2026,177,0.1023,18.11
589880.SH,2025,208,0.384,79.88
589880.SH,2026,177,0.3449,61.04
159201.SZ,2025,209,3.3308,696.13
159201.SZ,2026,177,5.0958,901.96
159399.SZ,2025,209,2.7959,584.35
159399.SZ,2026,177,1.9939,352.91
588240.SH,2025,211,0.3382,71.37
588240.SH,2026,177,0.5508,97.5
588960.SH,2025,215,0.109,23.44
588960.SH,2026,177,0.2093,37.05
159383.SZ,2025,218,0.0398,8.69
159383.SZ,2026,177,0.06,10.61
159386.SZ,2025,221,0.3238,71.56
159386.SZ,2026,177,0.235,41.6
159367.SZ,2025,217,0.0677,14.69
159367.SZ,2026,177,0.1357,24.01
159371.SZ,2025,220,0.0568,12.49
159371.SZ,2026,177,0.0752,13.31
159373.SZ,2025,222,0.4117,91.39
159373.SZ,2026,177,0.4629,81.93
563860.SH,2025,220,0.5631,123.88
563860.SH,2026,177,0.2646,46.84
159336.SZ,2025,220,0.0481,10.57
159336.SZ,2026,177,0.1132,20.04
159397.SZ,2025,223,22.9596,5120.0
159397.SZ,2026,177,20.9539,3708.85
560750.SH,2025,223,0.1937,43.2
560750.SH,2026,177,0.0832,14.73
159398.SZ,2025,224,26.1189,5850.64
159398.SZ,2026,177,25.6932,4547.7
588870.SH,2025,226,0.5445,123.06
588870.SH,2026,177,0.9238,163.51
530800.SH,2025,226,0.0563,12.71
530800.SH,2026,177,0.0216,3.82
511200.SH,2025,223,49.4371,11024.48
511200.SH,2026,177,60.6325,10731.95
159396.SZ,2025,224,23.2629,5210.9
159396.SZ,2026,177,4.6686,826.34
511110.SH,2025,227,35.1235,7973.03
511110.SH,2026,177,64.4499,11407.63
511190.SH,2025,225,30.0092,6752.06
511190.SH,2026,177,10.1826,1802.31
563210.SH,2025,227,0.0622,14.12
563210.SH,2026,177,0.2061,36.48
588730.SH,2025,227,1.1678,265.09
588730.SH,2026,177,1.3992,247.65
159395.SZ,2025,226,21.0385,4754.71
159395.SZ,2026,177,11.0018,1947.32
520580.SH,2025,214,2.2742,486.69
520580.SH,2026,177,0.1958,34.65
520550.SH,2025,227,0.5094,115.62
520550.SH,2026,177,0.5456,96.57
