symbol,trade_date,fd_share,close
159391.SZ,20260831,8507.6398,1.119
159320.SZ,20260831,166123.5519,0.618
159910.SZ,20260831,8290.6143,2.394
159689.SZ,20260831,8814.7787,0.634
159381.SZ,20260831,177915.3206,1.18
159331.SZ,20260831,14869.4179,1.312
159332.SZ,20260831,8852.1477,1.244
159311.SZ,20260831,3938.3993,1.487
159699.SZ,20260831,49266.4255,0.88
159265.SZ,20260831,17795.0894,0.804
159913.SZ,20260831,2232.9693,2.472
159620.SZ,20260831,2914.0934,1.285
159834.SZ,20260831,23146.1376,9.539
159587.SZ,20260831,25344.7031,1.238
159690.SZ,20260831,27316.3978,2.028
159268.SZ,20260831,39005.5027,0.775
159200.SZ,20260831,15165.2633,102.109
159920.SZ,20260831,577955.9219,1.496
159837.SZ,20260831,280515.2837,0.497
159638.SZ,20260831,146034.1932,0.844
159901.SZ,20260831,97293.493,3.603
159821.SZ,20260831,6462.0,1.294
159822.SZ,20260831,29213.4315,0.593
159766.SZ,20260831,554814.0963,0.565
159621.SZ,20260831,1443.4717,1.169
159864.SZ,20260831,63052.6827,0.546
159682.SZ,20260831,328430.767,1.573
159583.SZ,20260831,246659.2902,1.66
159358.SZ,20260831,90510.642,1.325
159883.SZ,20260831,902403.7843,0.443
159660.SZ,20260831,226315.1363,2.368
159508.SZ,20260831,9043.1598,0.805
159718.SZ,20260831,18383.2634,0.899
159516.SZ,20260831,6190135.9972,0.723
159279.SZ,20260831,16438.7534,1.412
159111.SZ,20260831,14427.6676,102.324
159109.SZ,20260831,57116.3854,0.825
159362.SZ,20260831,161018.0191,1.313
159323.SZ,20260831,9709.7378,1.036
159371.SZ,20260831,18022.1172,1.693
159943.SZ,20260831,20322.9922,1.548
159687.SZ,20260831,163182.8658,1.846
159380.SZ,20260831,16080.4337,1.362
159378.SZ,20260831,55927.1072,1.031
159613.SZ,20260831,11059.0217,0.903
159611.SZ,20260831,947836.29,1.035
159158.SZ,20260831,88753.5344,0.992
159723.SZ,20260831,3102.5575,1.078
159659.SZ,20260831,455974.4064,2.345
159397.SZ,20260831,16624.7657,103.188
159316.SZ,20260831,532633.6139,1.157
159390.SZ,20260831,10926.8771,1.246
159865.SZ,20260831,1231245.5659,0.548
159850.SZ,20260831,42070.6498,0.82
159627.SZ,20260831,1911.6776,1.299
159375.SZ,20260831,36759.535,0.722
159629.SZ,20260831,90525.2663,3.244
159267.SZ,20260831,265850.6126,0.861
159600.SZ,20260831,30364.8913,101.658
159945.SZ,20260831,6007.2327,1.453
159956.SZ,20260831,4797.8674,2.191
159777.SZ,20260831,2828.0565,1.219
159676.SZ,20260831,13056.4183,1.601
159678.SZ,20260831,8914.3694,1.568
159366.SZ,20260831,34933.3072,1.436
159395.SZ,20260831,13400.4202,103.525
