symbol,name,theme,benchmark,invest_type,management,list_date,delist_date,list_status,m_fee,c_fee,scale_yi,scale_reliable,n_qualify_years,first_qualify_year,last_qualify_year,peak_year,peak_avg_daily_yi,latest_year,latest_avg_daily_yi,theme_representative
516610.SH,大成中证全指医疗保健设备与服务ETF,中证全指医疗保健设备与服务,中证全指医疗保健设备与服务指数收益率×100%,被动指数型,大成基金管理有限公司,20210513,nan,L,0.5,0.1,1.01,Y,0,,,2021,0.116,2026,0.0416,
563780.SH,方正富邦中证全指自由现金流ETF,中证全指自由现金流,中证全指自由现金流指数收益率×100%,被动指数型,方正富邦基金管理有限公司,20250513,nan,L,0.5,0.1,3.07,Y,0,,,2026,0.1153,2026,0.1153,
563660.SH,银河中证A500ETF,中证A500,中证A500指数收益率×100%,被动指数型,银河基金管理有限公司,20250402,nan,L,0.15,0.05,0.79,Y,0,,,2025,0.1153,2026,0.0635,
159285.SZ,华安国证港股通消费主题ETF,国证港股通消费主题,国证港股通消费主题指数收益率(经汇率调整)×100%,被动指数型,华安基金管理有限公司,20251020,nan,L,0.5,0.1,1.92,Y,0,,,2026,0.1147,2026,0.1147,
159931.SZ,汇添富中证金融地产ETF,中证金融地产,中证金融地产指数×100%,被动指数型,汇添富基金管理股份有限公司,20130916,nan,L,0.5,0.1,0.34,Y,0,,,2013,0.1137,2026,0.0105,
516890.SH,平安中证新材料主题ETF,中证新材料主题,中证新材料主题指数收益率×100%,被动指数型,平安基金管理有限公司,20210728,nan,L,0.5,0.1,0.26,Y,0,,,2021,0.1136,2026,0.0129,
159777.SZ,国联安创业板科技ETF,创业板科技,创业板科技指数收益率×100%,被动指数型,国联安基金管理有限公司,20211018,nan,L,0.5,0.1,0.34,Y,0,,,2024,0.1134,2026,0.0373,
563620.SH,兴业中证全指自由现金流ETF,中证全指自由现金流,中证全指自由现金流指数收益率×100%,被动指数型,兴业基金管理有限公司,20250820,nan,L,0.15,0.05,0.56,Y,0,,,2025,0.1131,2026,0.0416,
560380.SH,南方中证A100ETF,中证A100,中证A100指数收益率×100%,被动指数型,南方基金管理股份有限公司,20241227,nan,L,0.5,0.1,1.77,Y,0,,,2026,0.1131,2026,0.1131,
159848.SZ,国联安中证全指证券公司ETF,中证全指证券公司,中证全指证券公司指数×100%,被动指数型,国联安基金管理有限公司,20210312,nan,L,0.15,0.05,1.37,Y,0,,,2022,0.113,2026,0.0486,
560210.SH,景顺长城中证全指农牧渔ETF,中证全指农牧渔,中证全指农牧渔指数收益率×100%,被动指数型,景顺长城基金管理有限公司,20260320,nan,L,0.5,0.1,4.36,Y,0,,,2026,0.1127,2026,0.1127,
159810.SZ,浦银创业板ETF,创业板,创业板指数收益率×100%,被动指数型,浦银基金管理有限公司,20200710,nan,L,0.15,0.05,0.8,Y,0,,,2020,0.1125,2026,0.0367,
159332.SZ,富国中证中央企业红利ETF,中证中央企业红利,中证中央企业红利指数收益率×100%,被动指数型,富国基金管理有限公司,20240801,nan,L,0.15,0.05,1.1,Y,0,,,2024,0.1123,2026,0.0274,
588520.SH,永赢上证科创板综合价格增强策略ETF,上证科创板综合价格,上证科创板综合价格指数收益率×100%,增强指数型,永赢基金管理有限公司,20250708,nan,L,0.5,0.1,0.18,Y,0,,,2025,0.1117,2026,0.0421,
516200.SH,华安中证全指证券公司ETF,中证全指证券公司,中证全指证券公司指数收益率×100%,被动指数型,华安基金管理有限公司,20210322,nan,L,0.5,0.1,4.7,Y,0,,,2025,0.1117,2026,0.0991,
159964.SZ,平安创业板ETF,创业板,创业板指数收益率×100%,被动指数型,平安基金管理有限公司,20190419,nan,L,0.15,0.05,3.83,Y,0,,,2024,0.1109,2026,0.0635,
560870.SH,中银中证工业有色金属主题ETF,中证工业有色金属主题,中证工业有色金属主题指数收益率×100%,nan,中银基金管理有限公司,20260525,nan,L,0.15,0.05,0.89,Y,0,,,2026,0.1107,2026,0.1107,
159991.SZ,招商创业板大盘ETF,创业板大盘,创业板大盘指数收益率×100%,被动指数型,招商基金管理有限公司,20200424,nan,L,0.2,0.1,0.83,Y,0,,,2021,0.1107,2026,0.0551,
516870.SH,银华中证800汽车与零部件ETF,中证800汽车与零部件,中证800汽车与零部件指数收益率×100%,被动指数型,银华基金管理股份有限公司,20210709,20220126,D,nan,nan,,Y,0,,,2021,0.1106,2021,0.1106,
159159.SZ,国投瑞银中证全指公用事业ETF,中证全指公用事业,中证全指公用事业指数收益率×100%,被动指数型,国投瑞银基金管理有限公司,20260212,nan,L,0.15,0.1,1.2,Y,0,,,2026,0.1102,2026,0.1102,
159539.SZ,广发国证信息技术创新主题ETF,国证信息技术创新主题,国证信息技术创新主题指数收益率×100%,被动指数型,广发基金管理有限公司,20230928,nan,L,0.5,0.1,0.92,Y,0,,,2025,0.1101,2026,0.0654,
561000.SH,华安沪深300增强策略ETF,沪深300,沪深300指数收益率×100%,增强指数型,华安基金管理有限公司,20230111,nan,L,0.5,0.1,0.7,Y,0,,,2023,0.11,2026,0.0531,
588670.SH,嘉实上证科创板综合增强策略ETF,上证科创板综合,上证科创板综合指数收益率×100%,增强指数型,嘉实基金管理有限公司,20250613,nan,L,0.5,0.1,0.71,Y,0,,,2025,0.1097,2026,0.0301,
159290.SZ,东财创业板综合增强策略ETF,创业板综合,创业板综合指数收益率×100%,增强指数型,东财基金管理有限公司,20250917,nan,L,0.5,0.1,0.52,Y,0,,,2025,0.1085,2026,0.0434,
159183.SZ,招商中证新能源汽车ETF,中证新能源汽车,中证新能源汽车指数收益率×100%,被动指数型,招商基金管理有限公司,20260324,nan,L,0.5,0.1,0.4,Y,0,,,2026,0.1084,2026,0.1084,
159257.SZ,汇添富国证通用航空产业ETF,国证通用航空产业,国证通用航空产业指数收益率×100%,被动指数型,汇添富基金管理股份有限公司,20250728,nan,L,0.5,0.1,1.29,Y,0,,,2026,0.1083,2026,0.1083,
589320.SH,嘉实上证科创板200ETF,上证科创板200,上证科创板200指数收益率×100%,nan,嘉实基金管理有限公司,20260528,nan,L,0.15,0.05,0.99,Y,0,,,2026,0.1071,2026,0.1071,
560360.SH,万家中证软件服务ETF,中证软件服务,中证软件服务指数收益率×100%,被动指数型,万家基金管理有限公司,20240624,nan,L,0.5,0.1,2.82,Y,0,,,2026,0.1066,2026,0.1066,
159716.SZ,华宝深证100ETF,深证100,深证100指数收益率×100%,被动指数型,华宝基金管理有限公司,20210628,nan,L,0.15,0.05,0.62,Y,0,,,2021,0.1056,2026,0.0289,
159960.SZ,平安港股通恒生中国企业ETF,恒生中国企业,恒生中国企业指数×100%,被动指数型,平安基金管理有限公司,20181022,nan,L,0.5,0.1,0.61,Y,0,,,2026,0.1056,2026,0.1056,
530000.SH,天弘上证50ETF,上证50,上证50指数收益率×100%,被动指数型,天弘基金管理有限公司,20240913,nan,L,0.5,0.1,13.19,Y,0,,,2026,0.105,2026,0.105,
159958.SZ,工银瑞信创业板ETF,创业板指数P,创业板指数P×100%,被动指数型,工银瑞信基金管理有限公司,20180119,nan,L,0.5,0.1,4.98,Y,0,,,2026,0.1048,2026,0.1048,
520610.SH,银华标普港股通低波红利ETF,标普港股通低波红利,标普港股通低波红利指数×100%,被动指数型,银华基金管理股份有限公司,20260209,nan,L,0.5,0.1,3.87,Y,0,,,2026,0.1047,2026,0.1047,
561080.SH,华安中证全指自由现金流ETF,中证全指自由现金流,中证全指自由现金流指数收益率×100%,被动指数型,华安基金管理有限公司,20250430,nan,L,0.5,0.1,0.29,Y,0,,,2025,0.1047,2026,0.0544,
588140.SH,广发上证科创板200ETF,上证科创板200,上证科创板200指数收益率×100%,被动指数型,广发基金管理有限公司,20251015,nan,L,0.15,0.05,2.67,Y,0,,,2026,0.1044,2026,0.1044,
159555.SZ,银华中证2000增强策略ETF,中证2000,中证2000指数×100%,增强指数型,银华基金管理股份有限公司,20231212,nan,L,0.5,0.1,0.67,Y,0,,,2024,0.1029,2026,0.085,
516760.SH,平安中证畜牧养殖ETF,中证畜牧养殖,中证畜牧养殖指数收益率×100%,被动指数型,平安基金管理有限公司,20210312,nan,L,0.5,0.1,1.78,Y,0,,,2022,0.1029,2026,0.0647,
560230.SH,富国中证光伏产业ETF,中证光伏产业,中证光伏产业指数收益率×100%,被动指数型,富国基金管理有限公司,20260206,nan,L,0.5,0.1,0.63,Y,0,,,2026,0.1025,2026,0.1025,
588720.SH,中银上证科创板50成份ETF,上证科创板50成份,上证科创板50成份指数收益率×100%,被动指数型,中银基金管理有限公司,20250415,nan,L,0.15,0.05,1.88,Y,0,,,2026,0.102,2026,0.102,
159163.SZ,泰康中证有色金属矿业主题ETF,中证有色金属矿业主题,中证有色金属矿业主题指数收益率×100%,被动指数型,泰康基金管理有限公司,20260209,nan,L,0.5,0.1,2.06,Y,0,,,2026,0.1016,2026,0.1016,
