symbol,name,theme,benchmark,invest_type,management,list_date,delist_date,list_status,m_fee,c_fee,scale_yi,scale_reliable,n_qualify_years,first_qualify_year,last_qualify_year,peak_year,peak_avg_daily_yi,latest_year,latest_avg_daily_yi,theme_representative
563560.SH,兴业中证科技优势成长50策略ETF,中证科技优势成长50策略,中证科技优势成长50策略指数收益率×100%,被动指数型,兴业基金管理有限公司,20260227,nan,L,0.5,0.1,0.67,Y,0,,,2026,0.1132,2026,0.1132,Y
159336.SZ,融通中证诚通央企红利ETF,中证诚通央企红利,中证诚通央企红利指数收益率×100%,被动指数型,融通基金管理有限公司,20250212,nan,L,0.3,0.05,3.79,Y,0,,,2026,0.1132,2026,0.1132,Y
517180.SH,南方富时中国国企开放共赢ETF,富时中国国企开放共赢,富时中国国企开放共赢指数收益率×100%,被动指数型,南方基金管理股份有限公司,20211228,nan,L,0.25,0.05,1.36,Y,1,2024,2024,2024,0.6875,2026,0.1115,Y
159312.SZ,广发恒指港股通ETF,恒指港股通,恒指港股通指数收益率×100%,被动指数型,广发基金管理有限公司,20241108,nan,L,0.5,0.1,0.38,Y,0,,,2025,0.1613,2026,0.1105,Y
560700.SH,广发中证国新央企股东回报ETF,中证国新央企股东回报,中证国新央企股东回报指数×100%,被动指数型,广发基金管理有限公司,20230606,nan,L,0.5,0.05,5.54,Y,1,2023,2023,2023,0.6676,2026,0.1096,Y
517300.SH,国寿安保中证沪港深300ETF,中证沪港深300,中证沪港深300指数×100%,被动指数型,国寿安保基金管理有限公司,20210224,nan,L,0.5,0.1,9.55,Y,0,,,2026,0.1087,2026,0.1087,Y
159385.SZ,富国中证诚通国企数字经济ETF,中证诚通国企数字经济,中证诚通国企数字经济指数收益率×100%,被动指数型,富国基金管理有限公司,20250530,nan,L,0.5,0.1,0.91,Y,0,,,2025,0.1223,2026,0.1071,Y
561150.SH,富国中证500ESG基准ETF,中证500ESG基准,中证500ESG基准指数收益率×100%,被动指数型,富国基金管理有限公司,20220808,20221227,D,nan,nan,,Y,0,,,2022,0.1061,2022,0.1061,Y
159512.SZ,广发中证全指汽车ETF,中证全指汽车,中证全指汽车指数×100%,被动指数型,广发基金管理有限公司,20230725,nan,L,0.5,0.1,1.11,Y,0,,,2023,0.2319,2026,0.106,Y
562050.SH,华宝中证制药ETF,中证制药,中证制药指数收益率×100%,被动指数型,华宝基金管理有限公司,20250619,nan,L,0.5,0.1,0.91,Y,0,,,2025,0.1576,2026,0.1048,Y
562990.SH,易方达中证上海环交所碳中和ETF,中证上海环交所碳中和,中证上海环交所碳中和指数收益率×100%,被动指数型,易方达基金管理有限公司,20220719,nan,L,0.5,0.1,3.64,Y,1,2022,2022,2022,1.2969,2026,0.1036,Y
159843.SZ,招商国证食品饮料行业ETF,国证食品饮料行业,国证食品饮料行业指数收益率×100%,被动指数型,招商基金管理有限公司,20210205,nan,L,0.5,0.1,3.27,Y,0,,,2023,0.2462,2026,0.1026,Y
159944.SZ,广发中证全指原材料ETF,中证全指原材料,中证全指原材料指数×100%,被动指数型,广发基金管理有限公司,20150706,nan,L,0.5,0.1,0.49,Y,0,,,2026,0.1007,2026,0.1007,Y
520620.SH,嘉实恒生消费ETF,经估值汇率调整后的恒生消费,经估值汇率调整后的恒生消费指数收益率×100%,被动指数型,嘉实基金管理有限公司,20250819,nan,L,0.5,0.1,2.34,Y,0,,,2025,0.2679,2026,0.1004,Y
159902.SZ,华夏中小企业100ETF,中小企业100,中小企业100指数×100%,被动指数型,华夏基金管理有限公司,20060905,nan,L,0.5,0.1,,Y,5,2013,2019,2015,5.6163,2026,0.0994,Y
516550.SH,嘉实中证大农业ETF,中证大农业,中证大农业指数收益率×100%,被动指数型,嘉实基金管理有限公司,20210408,nan,L,0.5,0.1,1.85,Y,0,,,2022,0.1323,2026,0.0993,Y
517950.SH,交银中证智选沪深港科技50ETF,中证智选沪深港科技50,中证智选沪深港科技50指数收益率×100%,被动指数型,交银施罗德基金管理有限公司,20251218,nan,L,0.5,0.05,0.58,Y,0,,,2026,0.0974,2026,0.0974,Y
159643.SZ,国泰国证疫苗与生物科技ETF,国证疫苗与生物科技,国证疫苗与生物科技指数收益率×100%,被动指数型,国泰基金管理有限公司,20220822,nan,L,0.5,0.1,1.7,Y,0,,,2022,0.2937,2026,0.0971,Y
159523.SZ,华夏中证智选300成长创新策略ETF,中证智选300成长创新策略,中证智选300成长创新策略指数收益率×100%,被动指数型,华夏基金管理有限公司,20230919,nan,L,0.5,0.1,0.89,Y,0,,,2026,0.0969,2026,0.0969,Y
512550.SH,嘉实富时中国A50ETF,富时中国A50,富时中国A50指数×100%,被动指数型,嘉实基金管理有限公司,20170807,nan,L,0.5,0.1,1.97,Y,0,,,2024,0.1135,2026,0.0951,Y
510660.SH,华夏上证医药卫生ETF,上证医药卫生行业,上证医药卫生行业指数×100%,被动指数型,华夏基金管理有限公司,20130508,nan,L,0.5,0.1,1.29,Y,0,,,2013,0.4932,2026,0.0947,Y
159541.SZ,万家创业板综合ETF,创业板综合,创业板综合指数收益率×100%,被动指数型,万家基金管理有限公司,20231031,nan,L,0.5,0.1,0.95,Y,0,,,2024,0.2384,2026,0.0905,Y
515900.SH,博时中证央企创新驱动ETF,中证央企创新驱动,中证央企创新驱动指数收益率×100%,被动指数型,博时基金管理有限公司,20191218,nan,L,0.15,0.05,37.11,Y,3,2020,2024,2023,0.7445,2026,0.0879,Y
562920.SH,易方达中证信息安全主题ETF,中证信息安全主题,中证信息安全主题指数收益率×100%,被动指数型,易方达基金管理有限公司,20230612,nan,L,0.5,0.1,0.89,Y,0,,,2026,0.0875,2026,0.0875,Y
515110.SH,易方达中证国企一带一路ETF,中证国企一带一路,中证国企一带一路指数收益率×100%,被动指数型,易方达基金管理有限公司,20200115,nan,L,0.15,0.05,3.57,Y,0,,,2020,0.3745,2026,0.0861,Y
563700.SH,易方达中证红利价值ETF,中证红利价值,中证红利价值指数收益率×100%,被动指数型,易方达基金管理有限公司,20250428,nan,L,0.15,0.05,4.01,Y,0,,,2025,0.1089,2026,0.0852,Y
159013.SZ,大成中证工业互联网主题ETF,中证工业互联网主题,中证工业互联网主题指数收益率×100%,被动指数型,大成基金管理有限公司,20260428,nan,L,0.5,0.1,0.4,Y,0,,,2026,0.0852,2026,0.0852,Y
159773.SZ,华泰柏瑞创业板科技ETF,创业板科技,创业板科技指数收益率×100%,被动指数型,华泰柏瑞基金管理有限公司,20211008,nan,L,0.5,0.1,1.89,Y,0,,,2024,0.1553,2026,0.0842,Y
159728.SZ,南方国证在线消费ETF,国证在线消费,国证在线消费指数×100%,被动指数型,南方基金管理股份有限公司,20220111,nan,L,0.5,0.1,0.38,Y,0,,,2026,0.0813,2026,0.0813,Y
159966.SZ,华夏创业板低波价值ETF,创业板低波价值,创业板低波价值指数收益率×100%,被动指数型,华夏基金管理有限公司,20190715,nan,L,0.5,0.1,3.43,Y,1,2020,2020,2020,1.177,2026,0.0801,Y
562320.SH,银华沪深300价值ETF,沪深300价值,沪深300价值指数×100%,被动指数型,银华基金管理股份有限公司,20230112,nan,L,0.5,0.1,0.75,Y,0,,,2023,0.1423,2026,0.0793,Y
159909.SZ,招商深证电子信息传媒产业(TMT)50ETF,深证电子信息传媒产业50,深证电子信息传媒产业50指数(深证TMT50P)×100%,被动指数型,招商基金管理有限公司,20110901,nan,L,0.5,0.1,7.09,Y,0,,,2015,0.1059,2026,0.0793,Y
159503.SZ,鹏扬国证财富管理ETF,国证财富管理,国证财富管理指数收益率×100%,被动指数型,鹏扬基金管理有限公司,20230720,20240719,D,nan,nan,,Y,0,,,2023,0.0904,2024,0.0751,Y
159018.SZ,广发国证石油天然气ETF,国证石油天然气指数同期,国证石油天然气指数同期收益率×100%,被动指数型,广发基金管理有限公司,20260427,nan,L,0.5,0.1,0.24,Y,0,,,2026,0.0742,2026,0.0742,Y
159662.SZ,南方国证交通运输行业ETF,国证交通运输行业,国证交通运输行业指数×100%,被动指数型,南方基金管理股份有限公司,20221201,nan,L,0.5,0.1,0.8,Y,0,,,2023,0.2911,2026,0.0739,Y
511890.SH,景顺长城货币ETF,七天通知存款税后利率,七天通知存款税后利率(税后)×100%,货币型,景顺长城基金管理有限公司,20150803,20180412,D,nan,nan,,N,2,2015,2016,2015,2.6928,2017,0.0738,Y
515860.SH,嘉实中证新兴科技100策略ETF,中证新兴科技100策略,中证新兴科技100策略指数收益率×100%,被动指数型,嘉实基金管理有限公司,20191022,nan,L,0.5,0.1,2.19,Y,0,,,2020,0.2253,2026,0.0735,Y
563180.SH,银华中证高股息策略ETF,中证高股息策略,中证高股息策略指数收益率×100%,被动指数型,银华基金管理股份有限公司,20240514,nan,L,0.5,0.1,1.19,Y,0,,,2025,0.1171,2026,0.0735,Y
560960.SH,摩根中证碳中和60ETF,中证碳中和60,中证碳中和60指数收益率×100%,被动指数型,摩根基金管理(中国)有限公司,20230113,20250626,D,nan,nan,,Y,0,,,2024,0.1256,2025,0.0732,Y
517280.SH,天弘中证沪港深线上消费主题ETF,中证沪港深线上消费主题,中证沪港深线上消费主题指数×100%,被动指数型,天弘基金管理有限公司,20211203,20240826,D,nan,nan,,Y,0,,,2022,0.151,2024,0.0726,Y
513210.SH,易方达恒生ETF(QDII),恒生,恒生指数收益率(使用估值汇率折算)×100%,被动指数型,易方达基金管理有限公司,20240422,nan,L,0.5,0.1,0.62,Y,0,,,2025,0.1067,2026,0.0681,Y
512530.SH,建信沪深300红利ETF,沪深300红利,沪深300红利指数×100%,被动指数型,建信基金管理有限责任公司,20190923,nan,L,0.5,0.1,1.57,Y,0,,,2019,0.1616,2026,0.0665,Y
512590.SH,浦银安盛中证高股息精选ETF,中证高股息精选,中证高股息精选指数收益率×100%,被动指数型,浦银基金管理有限公司,20190308,20230428,D,nan,nan,,Y,0,,,2020,0.0689,2022,0.066,Y
516900.SH,华安中证申万食品饮料ETF,中证申万食品饮料,中证申万食品饮料指数收益率×100%,被动指数型,华安基金管理有限公司,20210428,nan,L,0.5,0.1,1.38,Y,0,,,2022,0.0926,2026,0.0618,Y
515960.SH,嘉实中证医药健康100策略ETF,中证医药健康100策略,中证医药健康100策略指数收益率×100%,被动指数型,嘉实基金管理有限公司,20200610,nan,L,0.5,0.1,2.0,Y,0,,,2020,0.115,2026,0.0597,Y
159550.SZ,东财中证沪港深互联网ETF,中证沪港深互联网,中证沪港深互联网指数收益率×100%,被动指数型,东财基金管理有限公司,20250627,nan,L,0.5,0.05,1.58,Y,0,,,2025,0.064,2026,0.0583,Y
516830.SH,富国沪深300ESG基准ETF,沪深300ESG基准,沪深300ESG基准指数×100%,被动指数型,富国基金管理有限公司,20210705,nan,L,0.15,0.05,0.93,Y,0,,,2023,0.1015,2026,0.0579,Y
159021.SZ,华夏国证大盘价值ETF,国证大盘价值,国证大盘价值指数收益率×100%,被动指数型,华夏基金管理有限公司,20260515,nan,L,0.15,0.05,0.94,Y,0,,,2026,0.0566,2026,0.0566,Y
512640.SH,嘉实中证金融地产ETF,中证金融地产,中证金融地产指数×100%,被动指数型,嘉实基金管理有限公司,20140725,nan,L,0.5,0.1,0.49,Y,0,,,2014,0.0926,2026,0.0564,Y
159118.SZ,华夏标普港股通低波红利ETF,经估值汇率调整后的标普港股通低波红利,经估值汇率调整后的标普港股通低波红利指数收益率×100%,被动指数型,华夏基金管理有限公司,20251127,nan,L,0.15,0.05,0.67,Y,0,,,2026,0.0555,2026,0.0555,Y
515870.SH,嘉实中证先进制造100策略ETF,中证先进制造100策略,中证先进制造100策略指数收益率×100%,被动指数型,嘉实基金管理有限公司,20200117,20230316,D,nan,nan,,Y,0,,,2022,0.0551,2022,0.0551,Y
562520.SH,华夏中证智选1000成长创新策略ETF,中证智选1000成长创新策略,中证智选1000成长创新策略指数收益率×100%,被动指数型,华夏基金管理有限公司,20220322,nan,L,0.5,0.1,0.37,Y,0,,,2026,0.055,2026,0.055,Y
510990.SH,工银瑞信中证180ESGETF,中证180ESG,中证180ESG指数收益率×100%,被动指数型,工银瑞信基金管理有限公司,20210701,nan,L,0.45,0.1,0.42,Y,0,,,2024,0.0733,2026,0.0548,Y
515920.SH,博时中证智能消费主题ETF,中证智能消费主题,中证智能消费主题指数×100%,被动指数型,博时基金管理有限公司,20210120,nan,L,0.5,0.1,0.79,Y,0,,,2021,0.1304,2026,0.0542,Y
510200.SH,汇安上证证券ETF,上证证券行业,上证证券行业指数收益率×100%,被动指数型,汇安基金管理有限责任公司,20200508,nan,L,0.5,0.1,1.74,Y,0,,,2020,0.0669,2026,0.0529,Y
159335.SZ,融通中证诚通央企科技创新ETF,中证诚通央企科技创新,中证诚通央企科技创新指数收益率×100%,被动指数型,融通基金管理有限公司,20240905,nan,L,0.3,0.05,0.97,Y,0,,,2024,0.3392,2026,0.0525,Y
159940.SZ,广发中证全指金融地产ETF,中证全指金融地产,中证全指金融地产指数×100%,被动指数型,广发基金管理有限公司,20150417,nan,L,0.5,0.1,3.48,Y,0,,,2024,0.0926,2026,0.0525,Y
517550.SH,招商中证沪港深消费龙头ETF,中证沪港深消费龙头,中证沪港深消费龙头指数(人民币)收益率×100%,被动指数型,招商基金管理有限公司,20220208,nan,L,0.5,0.1,0.53,Y,0,,,2026,0.0521,2026,0.0521,Y
510030.SH,华宝上证180价值ETF,上证180价值,上证180价值指数×100%,被动指数型,华宝基金管理有限公司,20100528,nan,L,0.5,0.1,1.59,Y,1,2015,2015,2015,0.6028,2026,0.0518,Y
512770.SH,华夏战略新兴成指ETF,中国战略新兴产业成份,中国战略新兴产业成份指数(简称:新兴成指)指数收益率×100%,被动指数型,华夏基金管理有限公司,20180816,nan,L,0.5,0.1,2.55,Y,0,,,2021,0.1077,2026,0.051,Y
563980.SH,鑫元中证800红利低波动ETF,中证800红利低波动,中证800红利低波动指数收益率×100%,被动指数型,鑫元基金管理有限公司,20251107,nan,L,0.5,0.1,1.85,Y,0,,,2026,0.0493,2026,0.0493,Y
159192.SZ,汇添富中证家电龙头ETF,中证家电龙头,中证家电龙头指数收益率×100%,被动指数型,汇添富基金管理股份有限公司,20260430,nan,L,0.5,0.1,0.17,Y,0,,,2026,0.0479,2026,0.0479,Y
