sw_l1,sw_l2,sw_l3,组内排名,symbol,name,mktcap_yi,avg_amount_20d_yi,price,listing_date,is_st,已纳入
传媒,出版,大众出版,5,601949.SS,中国出版,116.33,3.7735,6.11,2017-08-21,0,False
传媒,出版,教育出版,6,601900.SS,南方传媒,108.66,1.6652,12.32,2016-02-15,0,False
传媒,出版,大众出版,7,002181.SZ,粤 传 媒,106.82,6.0663,9.2,2007-11-16,0,False
传媒,出版,教育出版,8,605577.SS,龙版传媒,61.69,2.7863,13.88,2021-08-24,0,False
传媒,出版,大众出版,9,300788.SZ,中信出版,61.13,2.7746,32.15,2019-07-05,0,False
传媒,出版,大众出版,10,600551.SS,时代出版,50.45,3.0806,7.44,2002-09-05,0,False
传媒,出版,大众出版,11,301025.SZ,读客文化,39.43,1.6994,9.85,2021-07-19,0,False
传媒,出版,大众出版,12,601999.SS,出版传媒,37.68,2.1585,6.84,2007-12-21,0,False
传媒,出版,大众出版,13,603999.SS,读者传媒,36.69,1.1438,6.37,2015-12-10,0,False
传媒,出版,大众出版,14,301052.SZ,果麦文化,22.48,1.2797,22.72,2021-08-30,0,False
传媒,出版,大众出版,15,301231.SZ,荣信文化,22.2,1.8925,26.3,2022-09-08,0,False
传媒,广告营销,广告媒体,1,002027.SZ,分众传媒,675.89,6.1276,4.68,2004-08-04,0,True
传媒,广告营销,营销代理,2,300058.SZ,蓝色光标,463.5,35.1517,12.91,2010-02-26,0,True
传媒,广告营销,营销代理,3,301171.SZ,易点天下,209.43,25.0531,33.86,2022-08-19,0,False
传媒,广告营销,营销代理,4,002354.SZ,天娱数科,125.91,21.5586,7.61,2010-02-09,0,False
传媒,广告营销,营销代理,5,002400.SZ,省广集团,111.4,4.856,6.390000000000001,2010-05-06,0,False
传媒,广告营销,营销代理,6,605168.SS,三人行,107.16,3.7344,50.83,2020-05-28,0,False
传媒,广告营销,营销代理,7,600986.SS,浙文互联,104.71,3.6775,7.04,2004-04-26,0,False
传媒,广告营销,营销代理,8,000676.SZ,智度股份,83.27,3.6278,6.61,1996-12-24,0,False
传媒,广告营销,营销代理,9,600556.SS,天下秀,83.16,1.9398,4.6000000000000005,2001-08-07,0,False
传媒,广告营销,营销代理,10,300063.SZ,天龙集团,64.78,3.7981,8.540000000000001,2010-03-26,0,False
传媒,广告营销,营销代理,11,002264.SZ,新 华 都,52.04,2.0541,7.23,2008-07-31,0,False
传媒,广告营销,营销代理,12,002291.SZ,遥望科技,50.19,2.188,5.41,2009-09-03,0,False
传媒,广告营销,营销代理,13,603598.SS,引力传媒,45.23,2.9804,16.75,2015-05-27,0,False
传媒,广告营销,营销代理,14,300781.SZ,因赛集团,41.93,1.3263,25.54,2019-06-06,0,False
传媒,广告营销,营销代理,15,300061.SZ,旗天科技,41.65,2.785,6.32,2010-03-19,0,False
传媒,广告营销,营销代理,16,300071.SZ,福石控股,39.52,2.9707,4.1,2010-04-21,0,False
传媒,广告营销,营销代理,17,002995.SZ,天地在线,29.08,1.1212,16.39,2020-08-05,0,False
传媒,影视院线,影视动漫制作,1,300251.SZ,光线传媒,318.0,4.7124,10.84,2011-08-03,0,True
传媒,影视院线,影视动漫制作,2,600977.SS,中国电影,235.8,2.945,12.63,2016-08-09,0,False
传媒,影视院线,院线,3,002739.SZ,儒意电影,178.87,4.4575,8.47,2015-01-22,0,False
传媒,影视院线,影视动漫制作,4,300133.SZ,华策影视,132.17,5.8416,7.05,2010-10-26,0,False
传媒,影视院线,影视动漫制作,5,300182.SZ,捷成股份,131.33,6.6756,4.93,2011-02-22,0,False
传媒,影视院线,影视动漫制作,6,002292.SZ,奥飞娱乐,123.03,3.6967,8.32,2009-09-10,0,False
