sw_l1,sw_l2,symbol,name,组内排名,mktcap_yi,avg_amount_20d_yi,listing_date,sw_l3
商贸零售,专业连锁,300622.SZ,博士眼镜,4,45.27,1.2415,2017-03-15,专业连锁Ⅲ
商贸零售,互联网电商,603613.SS,国联股份,1,140.22,2.2179,2019-07-30,综合电商
商贸零售,互联网电商,002315.SZ,焦点科技,2,98.75,1.7389,2009-12-09,跨境电商
商贸零售,互联网电商,301381.SZ,赛维时代,3,92.76,1.1975,2023-07-12,跨境电商
商贸零售,互联网电商,003010.SZ,若羽臣,4,90.77,2.9981,2020-09-25,电商服务
商贸零售,互联网电商,002803.SZ,吉宏股份,5,90.16,1.8583,2016-07-12,跨境电商
商贸零售,旅游零售,600185.SS,珠免集团,2,89.35,2.3835,1999-06-11,旅游零售Ⅲ
商贸零售,贸易,601061.SS,中信金属,1,551.25,2.4521,2023-04-10,贸易Ⅲ
商贸零售,贸易,600710.SS,苏美达,2,146.36,1.2668,1996-07-01,贸易Ⅲ
商贸零售,贸易,002183.SZ,怡 亚 通,3,112.71,1.8243,2007-11-13,贸易Ⅲ
商贸零售,贸易,002072.SZ,凯瑞德,4,25.85,1.7743,2006-10-18,贸易Ⅲ
国防军工,地面兵装,601606.SS,长城军工,1,237.55,14.2743,2018-08-06,地面兵装Ⅲ
国防军工,地面兵装,600967.SS,内蒙一机,2,228.72,11.3417,2004-05-18,地面兵装Ⅲ
国防军工,地面兵装,000519.SZ,中兵红箭,3,214.59,9.8839,1993-10-08,地面兵装Ⅲ
国防军工,地面兵装,600184.SS,光电股份,5,125.0,4.5177,2003-11-06,地面兵装Ⅲ
国防军工,航天装备,688523.SS,航天环宇,5,168.61,1.3165,2023-06-02,航天装备Ⅲ
基础化工,化学原料,601216.SS,君正集团,3,397.43,2.7347,2011-02-22,氯碱
基础化工,化学纤维,002064.SZ,华峰化学,1,497.74,4.744,2006-08-23,氨纶
基础化工,化学纤维,688295.SS,中复神鹰,2,342.72,1.5444,2022-04-06,其他化学纤维
基础化工,塑料,688585.SS,上纬新材,1,589.39,5.3385,2020-09-28,合成树脂
基础化工,橡胶,300731.SZ,科创新源,2,86.57,4.1374,2017-12-08,其他橡胶制品
基础化工,橡胶,002068.SZ,黑猫股份,3,74.56,4.2597,2006-09-15,炭黑
基础化工,橡胶,300587.SZ,天铁科技,4,59.98,1.2587,2017-01-05,其他橡胶制品
基础化工,橡胶,300767.SZ,震安科技,5,53.88,1.398,2019-03-29,其他橡胶制品
基础化工,非金属材料,603688.SS,石英股份,2,266.72,7.1319,2014-10-31,非金属材料Ⅲ
基础化工,非金属材料,301071.SZ,力量钻石,3,175.49,11.8799,2021-09-24,非金属材料Ⅲ
基础化工,非金属材料,603826.SS,坤彩科技,4,142.5,1.6605,2017-04-14,非金属材料Ⅲ
基础化工,非金属材料,603612.SS,索通发展,5,84.03,1.9146,2017-07-18,非金属材料Ⅲ
家用电器,厨卫电器,002508.SZ,老板电器,1,154.7,1.4354,2010-11-23,厨房电器
家用电器,厨卫电器,603366.SS,日出东方,2,55.45,3.1086,2012-05-21,卫浴电器
家用电器,厨卫电器,002543.SZ,万和电气,3,52.8,1.5654,2011-01-28,卫浴电器
家用电器,厨卫电器,300911.SZ,亿田智能,4,51.56,4.9594,2020-12-03,厨房电器
家用电器,家电零部件,002011.SZ,盾安环境,3,145.81,5.0885,2004-07-05,家电零部件Ⅲ
家用电器,家电零部件,600619.SS,海立股份,4,140.72,1.9456,1992-11-16,家电零部件Ⅲ
家用电器,小家电,603355.SS,莱克电气,3,177.81,1.0295,2015-05-13,清洁小家电
家用电器,小家电,002242.SZ,九阳股份,4,71.19,1.0387,2008-05-28,厨房小家电
家用电器,小家电,002403.SZ,爱仕达,5,32.33,2.2186,2010-05-11,厨房小家电
家用电器,照明设备,301362.SZ,民爆光电,1,170.77,3.2806,2023-08-04,照明设备Ⅲ
家用电器,照明设备,605365.SS,立达信,2,69.58,1.5149,2021-07-20,照明设备Ⅲ
家用电器,照明设备,001326.SZ,联域股份,3,62.51,1.6146,2023-11-09,照明设备Ⅲ
家用电器,照明设备,002638.SZ,勤上股份,4,59.33,2.0234,2011-11-25,照明设备Ⅲ
家用电器,照明设备,002724.SZ,海洋王,5,56.09,1.7157,2014-11-04,照明设备Ⅲ
家用电器,白色家电,000921.SZ,海信家电,4,377.37,2.4275,1999-07-13,空调
家用电器,白色家电,002668.SZ,TCL智家,5,98.98,1.6111,2012-04-16,冰洗
家用电器,黑色家电,000801.SZ,四川九洲,4,121.76,1.659,1998-05-06,其他黑色家电
家用电器,黑色家电,000810.SZ,创维数字,5,110.19,1.6885,1998-06-02,其他黑色家电
建筑材料,水泥,600449.SS,宁夏建材,5,59.39,1.5232,2003-08-29,水泥制造
建筑材料,玻璃玻纤,301526.SZ,国际复材,3,1196.12,43.4692,2023-12-26,玻纤制造
建筑材料,玻璃玻纤,002080.SZ,中材科技,4,927.16,23.0594,2006-11-20,玻纤制造
建筑材料,装修建材,002043.SZ,兔 宝 宝,4,89.78,1.4995,2005-05-10,其他建材
建筑材料,装修建材,002785.SZ,万里石,5,83.15,2.4534,2015-12-23,其他建材
建筑装饰,专业工程,601618.SS,中国中冶,1,519.36,2.2024,2009-09-21,其他专业工程
建筑装饰,专业工程,601117.SS,中国化学,2,439.6,4.1811,2010-01-07,化学工程
建筑装饰,专业工程,600970.SS,中材国际,4,203.45,1.1212,2005-04-12,国际工程
建筑装饰,基础建设,601868.SS,中国能建,1,1070.61,4.7136,2021-09-28,基建市政工程
建筑装饰,基础建设,601390.SS,中国中铁,2,1052.39,3.7524,2007-12-03,基建市政工程
建筑装饰,基础建设,601800.SS,中国交建,3,940.4,1.4596,2012-03-09,基建市政工程
建筑装饰,工程咨询服务,600629.SS,华建集团,2,185.23,5.0966,1993-02-09,工程咨询服务Ⅲ
建筑装饰,工程咨询服务,301091.SZ,深城交,3,97.92,1.1661,2021-10-29,工程咨询服务Ⅲ
建筑装饰,工程咨询服务,603257.SS,中国瑞林,4,87.6,1.4544,2025-04-08,工程咨询服务Ⅲ
建筑装饰,工程咨询服务,003013.SZ,地铁设计,5,80.58,1.9104,2020-10-22,工程咨询服务Ⅲ
建筑装饰,房屋建设,000628.SZ,高新发展,2,197.59,7.2133,1996-11-18,房屋建设Ⅲ
建筑装饰,房屋建设,600170.SS,上海建工,3,195.49,2.7391,1998-06-23,房屋建设Ⅲ
建筑装饰,房屋建设,002761.SZ,浙江建投,4,94.6,1.0669,2015-06-10,房屋建设Ⅲ
建筑装饰,房屋建设,601789.SS,宁波建工,5,62.8,1.1252,2011-08-16,房屋建设Ⅲ
建筑装饰,装修装饰,601886.SS,江河集团,1,148.88,2.9605,2011-08-18,装修装饰Ⅲ
建筑装饰,装修装饰,002081.SZ,金 螳 螂,2,129.05,17.7248,2006-11-20,装修装饰Ⅲ
建筑装饰,装修装饰,002713.SZ,东易日盛,3,92.95,1.5029,2014-02-19,装修装饰Ⅲ
建筑装饰,装修装饰,002163.SZ,海南发展,4,73.17,2.4661,2007-08-23,装修装饰Ⅲ
建筑装饰,装修装饰,002047.SZ,宝鹰股份,5,50.95,1.3799,2005-05-31,装修装饰Ⅲ
房地产,房地产服务,000560.SZ,我爱我家,1,62.42,12.4099,1994-02-02,房产租赁经纪
房地产,房地产服务,002285.SZ,世联行,2,47.63,2.3422,2009-08-28,房产租赁经纪
房地产,房地产服务,300917.SZ,特发服务,3,45.41,3.7232,2020-12-21,物业管理
有色金属,金属新材料,300748.SZ,金力永磁,1,349.64,4.234,2018-09-21,磁性材料
有色金属,金属新材料,300811.SZ,铂科新材,2,343.84,9.796,2019-12-30,磁性材料
有色金属,金属新材料,300835.SZ,龙磁科技,4,213.57,5.0454,2020-05-25,磁性材料
有色金属,金属新材料,603124.SS,江南新材,5,191.52,6.4706,2025-03-20,其他金属新材料
机械设备,轨交设备,601766.SS,中国中车,1,1710.45,7.5647,2008-08-18,轨交设备Ⅲ
机械设备,轨交设备,688009.SS,中国通号,3,491.37,1.2949,2019-07-22,轨交设备Ⅲ
机械设备,轨交设备,688485.SS,九州一轨,4,158.11,6.7576,2023-01-18,轨交设备Ⅲ
汽车,商用车,600066.SS,宇通客车,1,587.8,4.6782,1997-05-08,商用载客车
汽车,商用车,000951.SZ,中国重汽,3,239.99,2.8129,1999-11-25,商用载货车
汽车,商用车,600166.SS,福田汽车,4,220.1,3.0004,1998-06-02,商用载货车
汽车,商用车,301039.SZ,中集车辆,5,136.44,1.0379,2021-07-08,商用载货车
汽车,摩托车及其他,603129.SS,春风动力,1,456.38,3.3617,2017-08-18,摩托车
汽车,摩托车及其他,601777.SS,千里科技,2,357.17,1.475,2010-11-25,摩托车
汽车,摩托车及其他,603766.SS,隆鑫通用,3,300.43,2.1437,2012-08-10,摩托车
汽车,摩托车及其他,301345.SZ,涛涛车业,5,259.66,2.0819,2023-03-21,摩托车
汽车,汽车服务,300825.SZ,阿尔特,1,62.65,2.9396,2020-03-27,汽车综合服务
汽车,汽车零部件,600660.SS,福耀玻璃,2,1417.61,5.2469,1993-06-10,车身附件及饰件
煤炭,焦炭,600740.SS,山西焦化,2,98.39,1.9121,1996-08-08,焦炭Ⅲ
煤炭,焦炭,601015.SS,陕西黑猫,3,74.14,3.9224,2014-11-05,焦炭Ⅲ
煤炭,焦炭,601011.SS,宝泰隆,4,56.32,2.9396,2011-03-09,焦炭Ⅲ
煤炭,焦炭,600792.SS,云煤能源,5,54.05,4.1086,1997-01-23,焦炭Ⅲ
环保,环保设备,000967.SZ,盈峰环境,1,270.08,4.5526,2000-03-30,环保设备Ⅲ
环保,环保设备,600388.SS,紫金龙净,2,251.11,2.0021,2000-12-29,环保设备Ⅲ
环保,环保设备,002645.SZ,华宏科技,3,138.72,4.1131,2011-12-20,环保设备Ⅲ
环保,环保设备,688309.SS,恒誉科技,4,61.38,1.3549,2020-07-14,环保设备Ⅲ
环保,环保设备,000551.SZ,创元科技,5,58.9,1.4431,1994-01-06,环保设备Ⅲ
环保,环境治理,600292.SS,电投水电,1,568.37,1.042,2000-11-01,大气治理
环保,环境治理,603568.SS,伟明环保,2,282.07,1.18,2015-05-28,固废治理
环保,环境治理,002266.SZ,浙富控股,3,250.53,3.066,2008-08-06,固废治理
环保,环境治理,600323.SS,瀚蓝环境,5,241.42,1.2963,2000-12-25,固废治理
电力设备,其他电源设备,601727.SS,上海电气,1,999.23,3.0248,2008-12-05,综合电力设备商
电力设备,电机,600580.SS,卧龙电驱,1,415.84,8.3331,2002-06-06,电机Ⅲ
电力设备,电机,301696.SZ,三瑞智能,2,370.41,1.3869,2026-04-10,电机Ⅲ
电力设备,风电设备,002487.SZ,大金重工,2,290.34,11.8649,2010-10-15,风电零部件
电力设备,风电设备,601615.SS,明阳智能,3,218.01,4.4065,2019-01-23,风电整机
电力设备,风电设备,002531.SZ,天顺风能,4,141.59,4.4439,2010-12-31,风电零部件
电子,其他电子,000062.SZ,深圳华强,4,238.26,5.7396,1997-01-30,其他电子Ⅲ
石油石化,油服工程,601808.SS,中海油服,1,590.72,1.9838,2007-09-28,油田服务
石油石化,油服工程,600871.SS,石化油服,2,422.74,3.2625,1995-04-11,油田服务
石油石化,油服工程,600968.SS,海油发展,3,409.65,1.8055,2019-06-26,油田服务
石油石化,油气开采,600777.SS,新潮能源,2,277.46,1.1937,1996-11-21,油气开采Ⅲ
石油石化,油气开采,000968.SZ,蓝焰控股,3,68.11,2.3045,2000-06-22,油气开采Ⅲ
