l1,l2,现有,含ST,有效现有,1亿以上候选,放宽档候选,候选池,新增,补齐后,达标,新增名单,放宽档数
家用电器,家电零部件,3,0,3,14,2,16,5,8,是,盾安环境(002011)、海立股份(600619)、华翔股份(603112)、同星科技(301252)、金海高科(603311),0
家用电器,小家电,3,0,3,6,1,7,4,7,否,莱克电气(603355)、九阳股份(002242)、爱仕达(002403)、彩虹集团(003023),0
家用电器,照明设备,0,0,0,5,0,5,5,5,否,民爆光电(301362)、立达信(605365)、联域股份(001326)、勤上股份(002638)、海洋王(002724),0
家用电器,白色家电,3,0,3,5,0,5,2,5,否,海信家电(000921)、TCL智家(002668),0
家用电器,黑色家电,3,0,3,8,1,9,5,8,是,四川九洲(000801)、创维数字(000810)、极米科技(688696)、九联科技(688609)、高斯贝尔(002848),0
建筑材料,水泥,6,0,6,6,1,7,2,8,是,宁夏建材(600449)、福建水泥(600802),0
建筑材料,玻璃玻纤,3,0,3,10,2,12,5,8,是,国际复材(301526)、中材科技(002080)、再升科技(603601)、山东玻纤(605006)、长海股份(300196),0
建筑材料,装修建材,3,0,3,11,5,16,5,8,是,兔 宝 宝(002043)、万里石(002785)、中旗新材(001212)、凯伦股份(300715)、开尔新材(300234),0
建筑装饰,专业工程,2,0,2,19,3,22,6,8,是,中国中冶(601618)、中国化学(601117)、中材国际(600970)、罗曼股份(605289)、鸿路钢构(002541)、柏诚股份(601133),0
建筑装饰,基础建设,2,0,2,18,1,19,6,8,是,中国能建(601868)、中国中铁(601390)、中国交建(601800)、中国铁建(601186)、中国电建(601669)、中国核建(601611),0
建筑装饰,工程咨询服务,1,0,1,12,3,15,7,8,是,华建集团(600629)、深城交(301091)、中国瑞林(603257)、地铁设计(003013)、矩阵股份(301365)、中粮科工(301058)、甘咨询(000779),0
建筑装饰,房屋建设,1,0,1,5,0,5,4,5,否,高新发展(000628)、上海建工(600170)、浙江建投(002761)、宁波建工(601789),0
建筑装饰,装修装饰,0,0,0,10,2,12,8,8,是,江河集团(601886)、金 螳 螂(002081)、东易日盛(002713)、海南发展(002163)、宝鹰股份(002047)、德才股份(605287)、中天精装(002989)、郑中设计(002811),0
房地产,房地产开发,16,0,16,36,13,49,0,16,是,,0
房地产,房地产服务,0,0,0,3,1,4,4,4,否,我爱我家(000560)、世联行(002285)、特发服务(300917)、招商积余(001914),1
有色金属,小金属,11,0,11,23,1,24,0,11,是,,0
有色金属,工业金属,10,0,10,49,0,49,0,10,是,,0
