symbol,name,category_l1,category_l2,category_l3,sw_l3,mktcap_yi,avg_amount_20d_yi,listing_date,档位,行情名
001331.SZ,胜通能源,股票,公用事业,燃气,燃气Ⅲ,176.43,2.5604,2022-09-08,1亿以上,
600635.SS,大众公用,股票,公用事业,燃气,燃气Ⅲ,135.81,1.3739,1993-03-04,1亿以上,
603393.SS,新天然气,股票,公用事业,燃气,燃气Ⅲ,107.93,2.2046,2016-09-12,1亿以上,
300483.SZ,首华燃气,股票,公用事业,燃气,燃气Ⅲ,92.46,3.6311,2015-06-30,1亿以上,
600903.SS,贵州燃气,股票,公用事业,燃气,燃气Ⅲ,79.97,4.6821,2017-11-07,1亿以上,
605296.SS,神农集团,股票,农林牧渔,养殖业,生猪养殖,173.87,1.26,2021-05-28,1亿以上,
002458.SZ,益生股份,股票,农林牧渔,养殖业,肉鸡养殖,120.65,3.8071,2010-08-10,1亿以上,
000048.SZ,京基智农,股票,农林牧渔,养殖业,生猪养殖,104.13,3.2973,1994-11-01,1亿以上,
300021.SZ,大禹节水,股票,农林牧渔,农业综合,农业综合Ⅲ,39.16,1.2328,2009-10-30,1亿以上,
002556.SZ,辉隆股份,股票,农林牧渔,农业综合,农业综合Ⅲ,48.06,0.9938,2011-03-02,放宽档(0.75-1亿),
300999.SZ,金龙鱼,股票,农林牧渔,农产品加工,粮油加工,1351.06,3.7581,2020-10-15,1亿以上,
600737.SS,中粮糖业,股票,农林牧渔,农产品加工,其他农产品加工,305.0,19.4557,1996-07-31,1亿以上,
605198.SS,安德利,股票,农林牧渔,农产品加工,果蔬加工,267.69,3.0454,2020-09-18,1亿以上,
000930.SZ,中粮科技,股票,农林牧渔,农产品加工,其他农产品加工,92.64,4.0093,1999-07-12,1亿以上,
600251.SS,冠农股份,股票,农林牧渔,农产品加工,果蔬加工,79.18,3.8723,2003-06-09,1亿以上,
000019.SZ,深粮控股,股票,农林牧渔,农产品加工,粮油加工,77.45,2.8276,1992-10-12,1亿以上,
600127.SS,金健米业,股票,农林牧渔,农产品加工,粮油加工,76.56,28.3735,1998-05-06,1亿以上,
600962.SS,国投中鲁,股票,农林牧渔,农产品加工,果蔬加工,67.49,1.4596,2004-06-22,1亿以上,
002868.SZ,绿康生化,股票,农林牧渔,动物保健,动物保健Ⅲ,35.54,1.0731,2017-05-03,1亿以上,
300119.SZ,瑞普生物,股票,农林牧渔,动物保健,动物保健Ⅲ,80.91,0.9623,2010-09-17,放宽档(0.75-1亿),
300871.SZ,回盛生物,股票,农林牧渔,动物保健,动物保健Ⅲ,43.75,0.9973,2020-08-24,放宽档(0.75-1亿),
002679.SZ,福建金森,股票,农林牧渔,林业,林业Ⅲ,26.59,1.7053,2012-06-05,1亿以上,
000798.SZ,中水渔业,股票,农林牧渔,渔业,海洋捕捞,36.81,4.0087,1998-02-12,1亿以上,
600467.SS,好当家,股票,农林牧渔,渔业,水产养殖,35.36,1.1086,2004-04-05,1亿以上,
300094.SZ,国联水产,股票,农林牧渔,渔业,水产养殖,32.72,2.737,2010-07-08,1亿以上,
600257.SS,大湖股份,股票,农林牧渔,渔业,水产养殖,26.47,1.0751,2000-06-12,1亿以上,
601118.SS,海南橡胶,股票,农林牧渔,种植业,其他种植业,259.76,12.9751,2011-01-07,1亿以上,
600598.SS,北大荒,股票,农林牧渔,种植业,粮食种植,221.32,8.4077,2002-03-29,1亿以上,
000998.SZ,隆平高科,股票,农林牧渔,种植业,种子,128.28,6.631,2000-12-11,1亿以上,
601952.SS,苏垦农发,股票,农林牧渔,种植业,粮食种植,124.16,4.42,2017-05-15,1亿以上,
002215.SZ,诺 普 信,股票,农林牧渔,种植业,其他种植业,96.81,3.3889,2008-02-18,1亿以上,
002041.SZ,登海种业,股票,农林牧渔,种植业,种子,86.33,7.8882,2005-04-18,1亿以上,
600313.SS,农发种业,股票,农林牧渔,种植业,种子,78.39,10.0485,2001-01-19,1亿以上,
600108.SS,亚盛集团,股票,农林牧渔,种植业,其他种植业,76.71,11.7,1997-08-18,1亿以上,
301498.SZ,乖宝宠物,股票,农林牧渔,饲料,宠物食品,149.74,1.3198,2023-08-16,1亿以上,
002100.SZ,天康生物,股票,农林牧渔,饲料,畜禽饲料,103.76,2.152,2006-12-26,1亿以上,
002891.SZ,中宠股份,股票,农林牧渔,饲料,宠物食品,87.88,1.7722,2017-08-21,1亿以上,
603363.SS,傲农生物,股票,农林牧渔,饲料,畜禽饲料,79.2,1.5865,2017-09-26,1亿以上,
603668.SS,天马科技,股票,农林牧渔,饲料,水产饲料,62.11,1.3905,2017-01-17,1亿以上,
688796.SS,百奥赛图,股票,医药生物,医疗服务,医疗研发外包,570.24,3.5373,2025-12-10,1亿以上,
601607.SS,上海医药,股票,医药生物,医药商业,医药流通,599.27,1.6226,1994-03-24,1亿以上,
603939.SS,益丰药房,股票,医药生物,医药商业,线下药店,273.03,2.0193,2015-02-17,1亿以上,
600998.SS,九州通,股票,医药生物,医药商业,医药流通,253.64,1.5789,2010-11-02,1亿以上,
603233.SS,大参林,股票,医药生物,医药商业,线下药店,208.3,1.2846,2017-07-31,1亿以上,
600511.SS,国药股份,股票,医药生物,医药商业,医药流通,197.98,1.0134,2002-11-27,1亿以上,
600056.SS,中国医药,股票,医药生物,医药商业,医药流通,132.98,1.0782,1997-05-15,1亿以上,
301015.SZ,百洋医药,股票,医药生物,医药商业,医药流通,120.68,1.5963,2021-06-30,1亿以上,
603883.SS,老百姓,股票,医药生物,医药商业,线下药店,96.15,1.6624,2015-04-23,1亿以上,
600415.SS,小商品城,股票,商贸零售,一般零售,商业物业经营,627.87,6.7006,2002-05-09,1亿以上,
300972.SZ,万辰集团,股票,商贸零售,一般零售,超市,341.45,3.5014,2021-04-19,1亿以上,
000564.SZ,供销大集,股票,商贸零售,一般零售,百货,269.07,7.4396,1994-01-10,1亿以上,
601933.SS,永辉超市,股票,商贸零售,一般零售,超市,266.86,6.5495,2010-12-15,1亿以上,
600827.SS,百联股份,股票,商贸零售,一般零售,多业态零售,137.02,1.089,1994-02-04,1亿以上,
000785.SZ,居然智家,股票,商贸零售,一般零售,商业物业经营,137.0,1.2541,1997-07-11,1亿以上,
600113.SS,浙江东日,股票,商贸零售,一般零售,商业物业经营,125.03,1.9848,1997-10-21,1亿以上,XD浙江东
000061.SZ,农 产 品,股票,商贸零售,一般零售,商业物业经营,116.52,2.2804,1997-01-10,1亿以上,
002416.SZ,爱施德,股票,商贸零售,专业连锁,专业连锁Ⅲ,110.92,1.4895,2010-05-28,1亿以上,
000829.SZ,天音控股,股票,商贸零售,专业连锁,专业连锁Ⅲ,90.31,1.5844,1997-12-02,1亿以上,
301078.SZ,孩子王,股票,商贸零售,专业连锁,专业连锁Ⅲ,87.38,1.668,2021-10-14,1亿以上,
300622.SZ,博士眼镜,股票,商贸零售,专业连锁,专业连锁Ⅲ,45.27,1.2415,2017-03-15,1亿以上,
603613.SS,国联股份,股票,商贸零售,互联网电商,综合电商,140.22,2.2179,2019-07-30,1亿以上,
002315.SZ,焦点科技,股票,商贸零售,互联网电商,跨境电商,98.75,1.7389,2009-12-09,1亿以上,
301381.SZ,赛维时代,股票,商贸零售,互联网电商,跨境电商,92.76,1.1975,2023-07-12,1亿以上,
003010.SZ,若羽臣,股票,商贸零售,互联网电商,电商服务,90.77,2.9981,2020-09-25,1亿以上,
002803.SZ,吉宏股份,股票,商贸零售,互联网电商,跨境电商,90.16,1.8583,2016-07-12,1亿以上,
300592.SZ,华凯易佰,股票,商贸零售,互联网电商,跨境电商,79.38,2.1168,2017-01-20,1亿以上,
002127.SZ,南极电商,股票,商贸零售,互联网电商,电商服务,73.4,1.0197,2007-04-18,1亿以上,
300792.SZ,壹网壹创,股票,商贸零售,互联网电商,电商服务,55.95,2.2656,2019-09-27,1亿以上,
600185.SS,珠免集团,股票,商贸零售,旅游零售,旅游零售Ⅲ,89.35,2.3835,1999-06-11,1亿以上,
601061.SS,中信金属,股票,商贸零售,贸易,贸易Ⅲ,551.25,2.4521,2023-04-10,1亿以上,
600710.SS,苏美达,股票,商贸零售,贸易,贸易Ⅲ,146.36,1.2668,1996-07-01,1亿以上,
002183.SZ,怡 亚 通,股票,商贸零售,贸易,贸易Ⅲ,112.71,1.8243,2007-11-13,1亿以上,
002072.SZ,凯瑞德,股票,商贸零售,贸易,贸易Ⅲ,25.85,1.7743,2006-10-18,1亿以上,
002091.SZ,江苏国泰,股票,商贸零售,贸易,贸易Ⅲ,126.31,0.7525,2006-12-08,放宽档(0.75-1亿),
601606.SS,长城军工,股票,国防军工,地面兵装,地面兵装Ⅲ,237.55,14.2743,2018-08-06,1亿以上,
600967.SS,内蒙一机,股票,国防军工,地面兵装,地面兵装Ⅲ,228.72,11.3417,2004-05-18,1亿以上,
000519.SZ,中兵红箭,股票,国防军工,地面兵装,地面兵装Ⅲ,214.59,9.8839,1993-10-08,1亿以上,
600184.SS,光电股份,股票,国防军工,地面兵装,地面兵装Ⅲ,125.0,4.5177,2003-11-06,1亿以上,
688543.SS,国科军工,股票,国防军工,地面兵装,地面兵装Ⅲ,107.09,3.8217,2023-06-21,1亿以上,
301357.SZ,北方长龙,股票,国防军工,地面兵装,地面兵装Ⅲ,92.97,6.0265,2023-04-18,1亿以上,
002519.SZ,银河电子,股票,国防军工,地面兵装,地面兵装Ⅲ,68.49,2.7076,2010-12-07,1亿以上,
688523.SS,航天环宇,股票,国防军工,航天装备,航天装备Ⅲ,168.61,1.3165,2023-06-02,1亿以上,
003009.SZ,中天火箭,股票,国防军工,航天装备,航天装备Ⅲ,78.34,1.651,2020-09-25,1亿以上,
002829.SZ,星网宇达,股票,国防军工,航天装备,航天装备Ⅲ,41.25,1.2372,2016-12-13,1亿以上,
300722.SZ,新余国科,股票,国防军工,航天装备,航天装备Ⅲ,60.86,0.9856,2017-11-10,放宽档(0.75-1亿),
603268.SS,松发股份,股票,国防军工,航海装备,航海装备Ⅲ,1897.87,10.7634,2015-03-19,1亿以上,
300065.SZ,海兰信,股票,国防军工,航海装备,航海装备Ⅲ,112.13,4.6486,2010-03-26,1亿以上,
300589.SZ,江龙船艇,股票,国防军工,航海装备,航海装备Ⅲ,50.08,3.351,2017-01-13,1亿以上,
601216.SS,君正集团,股票,基础化工,化学原料,氯碱,397.43,2.7347,2011-02-22,1亿以上,
