symbol,name,category_l1,category_l2,category_l3,sw_l3,mktcap_yi,avg_amount_20d_yi,listing_date,档位,行情名
002989.SZ,中天精装,股票,建筑装饰,装修装饰,装修装饰Ⅲ,47.66,1.3058,2020-06-10,1亿以上,
002811.SZ,郑中设计,股票,建筑装饰,装修装饰,装修装饰Ⅲ,45.12,2.0092,2016-09-08,1亿以上,
000560.SZ,我爱我家,股票,房地产,房地产服务,房产租赁经纪,62.42,12.4099,1994-02-02,1亿以上,
002285.SZ,世联行,股票,房地产,房地产服务,房产租赁经纪,47.63,2.3422,2009-08-28,1亿以上,
300917.SZ,特发服务,股票,房地产,房地产服务,物业管理,45.41,3.7232,2020-12-21,1亿以上,
001914.SZ,招商积余,股票,房地产,房地产服务,物业管理,92.2,0.7962,1994-09-28,放宽档(0.75-1亿),
002756.SZ,永兴材料,股票,有色金属,能源金属,锂,220.38,4.2445,2015-05-15,1亿以上,
601069.SS,西部黄金,股票,有色金属,贵金属,黄金,267.47,9.0533,2015-01-22,1亿以上,
001337.SZ,四川黄金,股票,有色金属,贵金属,黄金,219.74,10.3627,2023-03-03,1亿以上,
300748.SZ,金力永磁,股票,有色金属,金属新材料,磁性材料,349.64,4.234,2018-09-21,1亿以上,
300811.SZ,铂科新材,股票,有色金属,金属新材料,磁性材料,343.84,9.796,2019-12-30,1亿以上,
300835.SZ,龙磁科技,股票,有色金属,金属新材料,磁性材料,213.57,5.0454,2020-05-25,1亿以上,
603124.SS,江南新材,股票,有色金属,金属新材料,其他金属新材料,191.52,6.4706,2025-03-20,1亿以上,
601137.SS,博威合金,股票,有色金属,金属新材料,其他金属新材料,183.44,3.337,2011-01-27,1亿以上,
000969.SZ,安泰科技,股票,有色金属,金属新材料,其他金属新材料,179.95,3.1958,2000-05-29,1亿以上,
000970.SZ,中科三环,股票,有色金属,金属新材料,磁性材料,137.5,2.6363,2000-04-20,1亿以上,
603338.SS,浙江鼎力,股票,机械设备,工程机械,工程机械整机,277.28,2.2563,2015-03-25,1亿以上,
601766.SS,中国中车,股票,机械设备,轨交设备,轨交设备Ⅲ,1710.45,7.5647,2008-08-18,1亿以上,
688009.SS,中国通号,股票,机械设备,轨交设备,轨交设备Ⅲ,491.37,1.2949,2019-07-22,1亿以上,
688485.SS,九州一轨,股票,机械设备,轨交设备,轨交设备Ⅲ,158.11,6.7576,2023-01-18,1亿以上,
000927.SZ,中国铁物,股票,机械设备,轨交设备,轨交设备Ⅲ,151.26,1.0526,1999-07-27,1亿以上,
300351.SZ,永贵电器,股票,机械设备,轨交设备,轨交设备Ⅲ,54.18,1.0179,2012-09-20,1亿以上,
000925.SZ,众合科技,股票,机械设备,轨交设备,轨交设备Ⅲ,53.83,3.7987,1999-06-11,1亿以上,
601238.SS,广汽集团,股票,汽车,乘用车,综合乘用车,519.03,1.7327,2012-03-29,1亿以上,
600733.SS,北汽蓝谷,股票,汽车,乘用车,电动乘用车,285.25,3.6148,1996-08-16,1亿以上,
000572.SZ,海马汽车,股票,汽车,乘用车,综合乘用车,66.11,2.3191,1994-08-08,1亿以上,
600066.SS,宇通客车,股票,汽车,商用车,商用载客车,587.8,4.6782,1997-05-08,1亿以上,
000951.SZ,中国重汽,股票,汽车,商用车,商用载货车,239.99,2.8129,1999-11-25,1亿以上,
600166.SS,福田汽车,股票,汽车,商用车,商用载货车,220.1,3.0004,1998-06-02,1亿以上,
301039.SZ,中集车辆,股票,汽车,商用车,商用载货车,136.44,1.0379,2021-07-08,1亿以上,
600686.SS,金龙汽车,股票,汽车,商用车,商用载客车,77.23,1.7083,1993-11-08,1亿以上,
000957.SZ,中通客车,股票,汽车,商用车,商用载客车,58.22,1.4394,2000-01-13,1亿以上,
000800.SZ,一汽解放,股票,汽车,商用车,商用载货车,292.82,0.9105,1997-06-18,放宽档(0.75-1亿),
603129.SS,春风动力,股票,汽车,摩托车及其他,摩托车,456.38,3.3617,2017-08-18,1亿以上,
603766.SS,隆鑫通用,股票,汽车,摩托车及其他,摩托车,300.43,2.1437,2012-08-10,1亿以上,
301345.SZ,涛涛车业,股票,汽车,摩托车及其他,摩托车,259.66,2.0819,2023-03-21,1亿以上,
603529.SS,爱玛科技,股票,汽车,摩托车及其他,其他运输设备,184.86,1.1475,2021-06-15,1亿以上,
003033.SZ,征和工业,股票,汽车,摩托车及其他,摩托车,66.03,1.2229,2021-01-11,1亿以上,
301322.SZ,绿通科技,股票,汽车,摩托车及其他,其他运输设备,61.77,1.7443,2023-03-06,1亿以上,
300825.SZ,阿尔特,股票,汽车,汽车服务,汽车综合服务,62.65,2.9396,2020-03-27,1亿以上,
601965.SS,中国汽研,股票,汽车,汽车服务,汽车综合服务,132.55,0.8198,2012-06-11,放宽档(0.75-1亿),
600335.SS,国机汽车,股票,汽车,汽车服务,汽车经销商,75.86,0.943,2001-03-05,放宽档(0.75-1亿),
600660.SS,福耀玻璃,股票,汽车,汽车零部件,车身附件及饰件,1417.61,5.2469,1993-06-10,1亿以上,
600741.SS,华域汽车,股票,汽车,汽车零部件,车身附件及饰件,471.65,2.3223,1996-08-26,1亿以上,
601058.SS,赛轮轮胎,股票,汽车,汽车零部件,轮胎轮毂,447.51,5.7342,2011-06-30,1亿以上,
603049.SS,中策橡胶,股票,汽车,汽车零部件,轮胎轮毂,391.68,1.2411,2025-06-05,1亿以上,
600740.SS,山西焦化,股票,煤炭,焦炭,焦炭Ⅲ,98.39,1.9121,1996-08-08,1亿以上,
601015.SS,陕西黑猫,股票,煤炭,焦炭,焦炭Ⅲ,74.14,3.9224,2014-11-05,1亿以上,
601011.SS,宝泰隆,股票,煤炭,焦炭,焦炭Ⅲ,56.32,2.9396,2011-03-09,1亿以上,
600792.SS,云煤能源,股票,煤炭,焦炭,焦炭Ⅲ,54.05,4.1086,1997-01-23,1亿以上,
600408.SS,安泰集团,股票,煤炭,焦炭,焦炭Ⅲ,31.01,1.9881,2003-02-12,1亿以上,
000967.SZ,盈峰环境,股票,环保,环保设备,环保设备Ⅲ,270.08,4.5526,2000-03-30,1亿以上,
002645.SZ,华宏科技,股票,环保,环保设备,环保设备Ⅲ,138.72,4.1131,2011-12-20,1亿以上,
688309.SS,恒誉科技,股票,环保,环保设备,环保设备Ⅲ,61.38,1.3549,2020-07-14,1亿以上,
000551.SZ,创元科技,股票,环保,环保设备,环保设备Ⅲ,58.9,1.4431,1994-01-06,1亿以上,
300137.SZ,先河环保,股票,环保,环保设备,环保设备Ⅲ,53.71,1.6938,2010-11-05,1亿以上,
301081.SZ,严牌股份,股票,环保,环保设备,环保设备Ⅲ,39.12,1.1234,2021-10-20,1亿以上,
300105.SZ,龙源技术,股票,环保,环保设备,环保设备Ⅲ,37.04,1.0977,2010-08-20,1亿以上,
000890.SZ,法尔胜,股票,环保,环保设备,环保设备Ⅲ,31.92,4.7174,1999-01-19,1亿以上,
603568.SS,伟明环保,股票,环保,环境治理,固废治理,282.07,1.18,2015-05-28,1亿以上,
002266.SZ,浙富控股,股票,环保,环境治理,固废治理,250.53,3.066,2008-08-06,1亿以上,
600323.SS,瀚蓝环境,股票,环保,环境治理,固废治理,241.42,1.2963,2000-12-25,1亿以上,
000598.SZ,兴蓉环境,股票,环保,环境治理,水务及水治理,210.97,1.2249,1996-05-29,1亿以上,
600008.SS,首创环保,股票,环保,环境治理,水务及水治理,201.87,1.9863,2000-04-27,1亿以上,
000685.SZ,中山公用,股票,环保,环境治理,水务及水治理,161.16,1.3785,1997-01-23,1亿以上,
601727.SS,上海电气,股票,电力设备,其他电源设备,综合电力设备商,999.23,3.0248,2008-12-05,1亿以上,
600875.SS,东方电气,股票,电力设备,其他电源设备,综合电力设备商,826.55,9.1978,1995-10-10,1亿以上,
688411.SS,海博思创,股票,电力设备,其他电源设备,其他电源设备Ⅲ,296.64,4.0103,2025-01-27,1亿以上,
002335.SZ,科华数据,股票,电力设备,其他电源设备,其他电源设备Ⅲ,219.99,4.2607,2010-01-13,1亿以上,
600580.SS,卧龙电驱,股票,电力设备,电机,电机Ⅲ,415.84,8.3331,2002-06-06,1亿以上,
301696.SZ,三瑞智能,股票,电力设备,电机,电机Ⅲ,370.41,1.3869,2026-04-10,1亿以上,
003021.SZ,兆威机电,股票,电力设备,电机,电机Ⅲ,178.43,2.5394,2020-12-04,1亿以上,
002249.SZ,大洋电机,股票,电力设备,电机,电机Ⅲ,156.65,2.2826,2008-06-19,1亿以上,
600416.SS,湘电股份,股票,电力设备,电机,电机Ⅲ,125.59,1.1121,2002-07-18,1亿以上,
002487.SZ,大金重工,股票,电力设备,风电设备,风电零部件,290.34,11.8649,2010-10-15,1亿以上,
601615.SS,明阳智能,股票,电力设备,风电设备,风电整机,218.01,4.4065,2019-01-23,1亿以上,
002531.SZ,天顺风能,股票,电力设备,风电设备,风电零部件,141.59,4.4439,2010-12-31,1亿以上,
603063.SS,禾望电气,股票,电力设备,风电设备,风电零部件,140.68,5.0564,2017-07-28,1亿以上,
300850.SZ,新强联,股票,电力设备,风电设备,风电零部件,120.87,4.0601,2020-07-13,1亿以上,
688660.SS,电气风电,股票,电力设备,风电设备,风电整机,119.73,2.6493,2021-05-19,1亿以上,
000062.SZ,深圳华强,股票,电子,其他电子,其他电子Ⅲ,238.26,5.7396,1997-01-30,1亿以上,
002130.SZ,沃尔核材,股票,电子,其他电子,其他电子Ⅲ,237.14,6.4616,2007-04-20,1亿以上,
688800.SS,瑞可达,股票,电子,其他电子,其他电子Ⅲ,200.46,8.1518,2021-07-22,1亿以上,
300131.SZ,英唐智控,股票,电子,其他电子,其他电子Ⅲ,183.65,10.3136,2010-10-19,1亿以上,
601808.SS,中海油服,股票,石油石化,油服工程,油田服务,590.72,1.9838,2007-09-28,1亿以上,
600871.SS,石化油服,股票,石油石化,油服工程,油田服务,422.74,3.2625,1995-04-11,1亿以上,
600968.SS,海油发展,股票,石油石化,油服工程,油田服务,409.65,1.8055,2019-06-26,1亿以上,
600339.SS,中油工程,股票,石油石化,油服工程,油气及炼化工程,185.92,1.8026,2000-12-25,1亿以上,
300191.SZ,潜能恒信,股票,石油石化,油服工程,油气及炼化工程,104.13,5.9737,2011-03-16,1亿以上,
300164.SZ,通源石油,股票,石油石化,油服工程,油气及炼化工程,57.43,12.4408,2011-01-13,1亿以上,
600777.SS,新潮能源,股票,石油石化,油气开采,油气开采Ⅲ,277.46,1.1937,1996-11-21,1亿以上,
000968.SZ,蓝焰控股,股票,石油石化,油气开采,油气开采Ⅲ,68.11,2.3045,2000-06-22,1亿以上,
002493.SZ,荣盛石化,股票,石油石化,炼化及贸易,炼油化工,1310.61,7.2788,2010-11-02,1亿以上,
000301.SZ,东方盛虹,股票,石油石化,炼化及贸易,炼油化工,900.45,5.0764,2000-05-29,1亿以上,
000703.SZ,恒逸石化,股票,石油石化,炼化及贸易,炼油化工,716.24,18.7716,1997-03-28,1亿以上,
300012.SZ,华测检测,股票,社会服务,专业服务,检测服务,247.38,4.054,2009-10-30,1亿以上,
688757.SS,胜科纳米,股票,社会服务,专业服务,检测服务,126.4,2.4399,2025-03-25,1亿以上,
300938.SZ,信测标准,股票,社会服务,专业服务,检测服务,99.87,2.4692,2021-01-27,1亿以上,
300416.SZ,苏试试验,股票,社会服务,专业服务,检测服务,72.47,1.4328,2015-01-22,1亿以上,
301228.SZ,实朴检测,股票,社会服务,专业服务,检测服务,71.16,1.9009,2022-01-28,1亿以上,
002057.SZ,中钢天源,股票,社会服务,专业服务,检测服务,66.42,1.2419,2006-08-02,1亿以上,
301115.SZ,联检科技,股票,社会服务,专业服务,检测服务,57.22,1.5802,2022-08-31,1亿以上,
301449.SZ,天溯计量,股票,社会服务,专业服务,检测服务,35.76,1.0484,2025-12-23,1亿以上,
600158.SS,中体产业,股票,社会服务,体育,体育Ⅲ,67.55,1.7226,1998-03-27,1亿以上,
002607.SZ,中公教育,股票,社会服务,教育,培训教育,117.18,2.6292,2011-08-10,1亿以上,
300192.SZ,科德教育,股票,社会服务,教育,培训教育,83.91,4.4743,2011-03-22,1亿以上,
002093.SZ,国脉科技,股票,社会服务,教育,学历教育,77.78,1.4525,2006-12-15,1亿以上,
300688.SZ,创业黑马,股票,社会服务,教育,培训教育,58.01,3.0719,2017-08-10,1亿以上,
600880.SS,博瑞传播,股票,社会服务,教育,教育运营及其他,54.12,1.8989,1995-11-15,1亿以上,
000526.SZ,学大教育,股票,社会服务,教育,培训教育,42.82,1.821,1993-11-01,1亿以上,
003032.SZ,传智教育,股票,社会服务,教育,培训教育,35.09,5.8918,2021-01-12,1亿以上,
603099.SS,长白山,股票,社会服务,旅游及景区,自然景区,101.13,2.4084,2014-08-22,1亿以上,
600054.SS,黄山旅游,股票,社会服务,旅游及景区,自然景区,78.34,1.2398,1997-05-06,1亿以上,
000524.SZ,岭南控股,股票,社会服务,旅游及景区,旅游综合,59.05,1.4114,1993-11-18,1亿以上,
000796.SZ,凯撒旅业,股票,社会服务,旅游及景区,旅游综合,58.86,3.4787,1997-07-03,1亿以上,
603402.SS,陕西旅游,股票,社会服务,旅游及景区,旅游综合,57.91,2.3496,2026-01-06,1亿以上,
000430.SZ,张家界,股票,社会服务,旅游及景区,自然景区,54.49,1.9832,1996-08-29,1亿以上,
600593.SS,大连圣亚,股票,社会服务,旅游及景区,人工景区,51.38,1.8943,2002-07-11,1亿以上,
000428.SZ,华天酒店,股票,社会服务,酒店餐饮,酒店,41.47,3.5235,1996-08-08,1亿以上,
000721.SZ,西安饮食,股票,社会服务,酒店餐饮,餐饮,34.21,2.3535,1997-04-30,1亿以上,
301073.SZ,君亭酒店,股票,社会服务,酒店餐饮,酒店,33.8,1.898,2021-09-30,1亿以上,
600398.SS,海澜之家,股票,纺织服饰,服装家纺,非运动服装,279.04,2.1997,2000-12-28,1亿以上,
002832.SZ,比音勒芬,股票,纺织服饰,服装家纺,非运动服装,142.73,2.1452,2016-12-23,1亿以上,
300005.SZ,探路者,股票,纺织服饰,服装家纺,运动服装,99.59,4.4211,2009-10-30,1亿以上,
603608.SS,天创时尚,股票,纺织服饰,服装家纺,鞋帽及其他,86.03,3.2588,2016-02-18,1亿以上,
600400.SS,红豆股份,股票,纺织服饰,服装家纺,非运动服装,73.55,1.6381,2001-01-08,1亿以上,
002612.SZ,朗姿股份,股票,纺织服饰,服装家纺,非运动服装,68.18,1.2075,2011-08-30,1亿以上,
002029.SZ,七 匹 狼,股票,纺织服饰,服装家纺,非运动服装,57.18,1.628,2004-08-06,1亿以上,
002003.SZ,伟星股份,股票,纺织服饰,纺织制造,辅料,134.58,1.9557,2004-06-25,1亿以上,
002083.SZ,孚日股份,股票,纺织服饰,纺织制造,棉纺,93.43,2.9729,2006-11-24,1亿以上,
300819.SZ,聚杰微纤,股票,纺织服饰,纺织制造,其他纺织,72.66,1.6569,2020-03-12,1亿以上,
002042.SZ,华孚时尚,股票,纺织服饰,纺织制造,棉纺,64.46,1.168,2005-04-27,1亿以上,
002674.SZ,兴业科技,股票,纺织服饰,纺织制造,辅料,57.1,3.2497,2012-05-07,1亿以上,
605189.SS,富春染织,股票,纺织服饰,纺织制造,印染,33.42,1.1806,2021-05-28,1亿以上,
300979.SZ,华利集团,股票,纺织服饰,纺织制造,纺织鞋类制造,388.73,0.7981,2021-04-26,放宽档(0.75-1亿),
603055.SS,台华新材,股票,纺织服饰,纺织制造,其他纺织,83.6,0.8958,2017-09-21,放宽档(0.75-1亿),
600916.SS,中国黄金,股票,纺织服饰,饰品,钟表珠宝,127.18,4.6373,2021-02-05,1亿以上,XD中国黄
002867.SZ,周大生,股票,纺织服饰,饰品,钟表珠宝,113.11,1.2513,2017-04-27,1亿以上,
301177.SZ,迪阿股份,股票,纺织服饰,饰品,钟表珠宝,90.58,1.0861,2021-12-15,1亿以上,
002345.SZ,潮宏基,股票,纺织服饰,饰品,钟表珠宝,78.81,2.1336,2010-01-28,1亿以上,
000026.SZ,飞亚达,股票,纺织服饰,饰品,钟表珠宝,76.97,1.9307,1993-06-03,1亿以上,
002721.SZ,金一文化,股票,纺织服饰,饰品,钟表珠宝,71.8,5.2113,2014-01-27,1亿以上,
000017.SZ,深中华A,股票,纺织服饰,饰品,钟表珠宝,51.21,6.6415,1992-03-31,1亿以上,
000833.SZ,粤桂股份,股票,综合,综合,综合Ⅲ,170.08,6.6251,1998-11-11,1亿以上,
600770.SS,综艺股份,股票,综合,综合,综合Ⅲ,75.01,2.2908,1996-11-20,1亿以上,
600682.SS,南京新百,股票,综合,综合,综合Ⅲ,74.12,1.0756,1993-10-18,1亿以上,
000025.SZ,特 力Ａ,股票,综合,综合,综合Ⅲ,62.81,2.1488,1993-06-21,1亿以上,
000523.SZ,红棉股份,股票,综合,综合,综合Ⅲ,59.1,5.9582,1993-11-08,1亿以上,
600881.SS,亚泰集团,股票,综合,综合,综合Ⅲ,56.24,3.0141,1995-11-15,1亿以上,
000753.SZ,漳州发展,股票,综合,综合,综合Ⅲ,54.53,1.2883,1997-06-26,1亿以上,
003006.SZ,百亚股份,股票,美容护理,个护用品,生活用纸,82.75,3.3262,2020-09-21,1亿以上,
300888.SZ,稳健医疗,股票,美容护理,个护用品,生活用纸,164.86,0.8586,2020-09-17,放宽档(0.75-1亿),
300658.SZ,延江股份,股票,美容护理,个护用品,生活用纸,33.54,0.7666,2017-06-02,放宽档(0.75-1亿),
603605.SS,珀莱雅,股票,美容护理,化妆品,品牌化妆品,223.25,3.5761,2017-11-15,1亿以上,
300957.SZ,贝泰妮,股票,美容护理,化妆品,品牌化妆品,133.43,2.1888,2021-03-25,1亿以上,
600315.SS,上海家化,股票,美容护理,化妆品,品牌化妆品,118.45,1.7682,2001-03-15,1亿以上,
603983.SS,丸美生物,股票,美容护理,化妆品,品牌化妆品,112.48,1.5425,2019-07-25,1亿以上,
300740.SZ,水羊股份,股票,美容护理,化妆品,品牌化妆品,87.63,5.3717,2018-02-08,1亿以上,
002094.SZ,青岛金王,股票,美容护理,化妆品,化妆品制造及其他,34.54,3.3081,2006-12-15,1亿以上,
301371.SZ,敷尔佳,股票,美容护理,化妆品,品牌化妆品,106.67,0.8732,2023-08-01,放宽档(0.75-1亿),
300132.SZ,诺斯贝尔,股票,美容护理,化妆品,化妆品制造及其他,31.15,0.909,2010-10-26,放宽档(0.75-1亿),
688363.SS,华熙生物,股票,美容护理,医疗美容,医美耗材,164.64,0.7921,2019-11-06,放宽档(0.75-1亿),
002831.SZ,裕同科技,股票,轻工制造,包装印刷,纸包装,367.43,2.9465,2016-12-16,1亿以上,
003018.SZ,金富科技,股票,轻工制造,包装印刷,塑料包装,155.41,9.7531,2020-11-06,1亿以上,
002969.SZ,嘉美包装,股票,轻工制造,包装印刷,金属包装,124.57,4.3172,2019-12-02,1亿以上,
002701.SZ,奥瑞金,股票,轻工制造,包装印刷,金属包装,113.4,1.044,2012-10-11,1亿以上,
600210.SS,紫江企业,股票,轻工制造,包装印刷,塑料包装,96.46,1.0301,1999-08-24,1亿以上,
002565.SZ,顺灏股份,股票,轻工制造,包装印刷,纸包装,92.33,4.2115,2011-03-18,1亿以上,
002303.SZ,美盈森,股票,轻工制造,包装印刷,纸包装,88.05,2.7549,2009-11-03,1亿以上,
603195.SS,公牛集团,股票,轻工制造,家居用品,其他家居用品,684.59,1.2953,2020-02-06,1亿以上,
603833.SS,欧派家居,股票,轻工制造,家居用品,定制家居,174.57,1.0192,2017-03-28,1亿以上,
001221.SZ,悍高集团,股票,轻工制造,家居用品,其他家居用品,141.48,1.3141,2025-07-30,1亿以上,
603226.SS,菲林格尔,股票,轻工制造,家居用品,瓷砖地板,130.47,2.1047,2017-06-15,1亿以上,
603389.SS,亚振家居,股票,轻工制造,家居用品,成品家居,125.36,1.1721,2016-12-15,1亿以上,
301061.SZ,匠心家居,股票,轻工制造,家居用品,成品家居,118.82,1.2688,2021-09-13,1亿以上,
603899.SS,晨光股份,股票,轻工制造,文娱用品,文化用品,199.37,1.0074,2015-01-27,1亿以上,
002348.SZ,高乐股份,股票,轻工制造,文娱用品,娱乐用品,104.18,1.4863,2010-02-03,1亿以上,
605299.SS,舒华体育,股票,轻工制造,文娱用品,娱乐用品,48.88,2.0306,2020-12-15,1亿以上,
002862.SZ,实丰文化,股票,轻工制造,文娱用品,娱乐用品,25.19,1.1705,2017-04-11,1亿以上,
002678.SZ,珠江钢琴,股票,轻工制造,文娱用品,娱乐用品,58.95,0.7789,2012-05-30,放宽档(0.75-1亿),
002301.SZ,齐心集团,股票,轻工制造,文娱用品,文化用品,56.33,0.918,2009-10-21,放宽档(0.75-1亿),
001368.SZ,通达创智,股票,轻工制造,文娱用品,娱乐用品,34.23,0.7911,2023-03-13,放宽档(0.75-1亿),
002899.SZ,英派斯,股票,轻工制造,文娱用品,娱乐用品,29.47,0.815,2017-09-15,放宽档(0.75-1亿),
002078.SZ,太阳纸业,股票,轻工制造,造纸,大宗用纸,395.59,3.4176,2006-11-16,1亿以上,
603733.SS,仙鹤股份,股票,轻工制造,造纸,特种纸,154.71,1.6811,2018-04-20,1亿以上,
600103.SS,青山纸业,股票,轻工制造,造纸,特种纸,82.69,12.8711,1997-07-03,1亿以上,
600963.SS,岳阳林纸,股票,轻工制造,造纸,大宗用纸,59.58,1.009,2004-05-25,1亿以上,
002067.SZ,景兴纸业,股票,轻工制造,造纸,大宗用纸,58.99,1.3881,2006-09-15,1亿以上,
002235.SZ,安妮股份,股票,轻工制造,造纸,特种纸,46.25,2.225,2008-05-16,1亿以上,
600567.SS,山鹰国际,股票,轻工制造,造纸,大宗用纸,81.91,0.8222,2001-12-18,放宽档(0.75-1亿),
600433.SS,冠豪高新,股票,轻工制造,造纸,特种纸,57.06,0.8601,2003-06-19,放宽档(0.75-1亿),
603881.SS,数据港,股票,通信,通信服务,通信应用增值服务,203.79,8.7678,2017-02-08,1亿以上,
300738.SZ,奥飞数据,股票,通信,通信服务,通信应用增值服务,190.05,6.1495,2018-01-19,1亿以上,
002929.SZ,润建股份,股票,通信,通信服务,通信工程及服务,143.16,4.5576,2018-03-01,1亿以上,
600516.SS,方大炭素,股票,钢铁,冶钢原料,冶钢辅料,210.96,1.8658,2002-08-30,1亿以上,
601969.SS,海南矿业,股票,钢铁,冶钢原料,铁矿石,186.94,1.6629,2014-12-09,1亿以上,
000923.SZ,河钢资源,股票,钢铁,冶钢原料,铁矿石,105.94,3.4721,1999-07-14,1亿以上,
601121.SS,宝地矿业,股票,钢铁,冶钢原料,铁矿石,69.88,1.0482,2023-03-10,1亿以上,
000959.SZ,首钢股份,股票,钢铁,普钢,板材,272.97,1.0744,1999-12-16,1亿以上,
000709.SZ,河钢股份,股票,钢铁,普钢,板材,212.94,1.7252,1997-04-16,1亿以上,
600808.SS,马钢股份,股票,钢铁,普钢,板材,197.91,1.5581,1994-01-06,1亿以上,
603995.SS,甬金股份,股票,钢铁,特钢,特钢Ⅲ,91.34,1.253,2019-12-24,1亿以上,
600399.SS,抚顺特钢,股票,钢铁,特钢,特钢Ⅲ,88.55,1.5986,2000-12-29,1亿以上,
002443.SZ,金洲管道,股票,钢铁,特钢,特钢Ⅲ,62.67,3.099,2010-07-06,1亿以上,
002478.SZ,常宝股份,股票,钢铁,特钢,特钢Ⅲ,58.37,1.9906,2010-09-21,1亿以上,
601077.SS,渝农商行,股票,银行,农商行,农商行Ⅲ,748.43,4.071,2019-10-29,1亿以上,
601128.SS,常熟银行,股票,银行,农商行,农商行Ⅲ,232.02,3.6202,2016-09-30,1亿以上,
002958.SZ,青农商行,股票,银行,农商行,农商行Ⅲ,165.0,2.5047,2019-03-26,1亿以上,
600908.SS,无锡银行,股票,银行,农商行,农商行Ⅲ,128.17,1.3064,2016-09-23,1亿以上,
002807.SZ,江阴银行,股票,银行,农商行,农商行Ⅲ,113.45,2.073,2016-09-02,1亿以上,
002839.SZ,张家港行,股票,银行,农商行,农商行Ⅲ,106.08,1.511,2017-01-24,1亿以上,
603323.SS,苏农银行,股票,银行,农商行,农商行Ⅲ,99.25,1.9765,2016-11-29,1亿以上,
601939.SS,建设银行,股票,银行,国有大型银行,国有大型银行Ⅲ,28409.8,11.5329,2007-09-25,1亿以上,
601658.SS,邮储银行,股票,银行,国有大型银行,国有大型银行Ⅲ,6461.11,10.7823,2019-12-10,1亿以上,
600926.SS,杭州银行,股票,银行,城商行,城商行Ⅲ,1247.55,7.024,2016-10-27,1亿以上,
601665.SS,齐鲁银行,股票,银行,城商行,城商行Ⅲ,429.54,4.1393,2021-06-18,1亿以上,
601818.SS,光大银行,股票,银行,股份制银行,股份制银行Ⅲ,1796.2,5.718,2010-08-18,1亿以上,
601319.SS,中国人保,股票,非银金融,保险,保险Ⅲ,3414.09,6.8614,2018-11-16,1亿以上,
000617.SZ,中油资本,股票,非银金融,多元金融,金融控股,858.4,8.9577,1996-10-22,1亿以上,
600901.SS,江苏金租,股票,非银金融,多元金融,租赁,391.53,1.9433,2018-03-01,1亿以上,
000987.SZ,越秀资本,股票,非银金融,多元金融,金融控股,366.75,2.0419,2000-07-18,1亿以上,
600517.SS,国网英大,股票,非银金融,多元金融,信托,285.35,1.0755,2003-10-10,1亿以上,
000415.SZ,渤海租赁,股票,非银金融,多元金融,租赁,277.07,2.7095,1996-07-16,1亿以上,
600816.SS,建元信托,股票,非银金融,多元金融,信托,239.22,1.6716,1994-01-28,1亿以上,
600390.SS,五矿资本,股票,非银金融,多元金融,金融控股,219.51,2.0336,2001-01-15,1亿以上,
002847.SZ,盐津铺子,股票,食品饮料,休闲食品,零食,114.78,1.402,2017-02-08,1亿以上,
603777.SS,来伊份,股票,食品饮料,休闲食品,零食,45.28,1.0428,2016-10-12,1亿以上,
002820.SZ,桂发祥,股票,食品饮料,休闲食品,烘焙食品,19.0,1.743,2016-11-18,1亿以上,
300783.SZ,三只松鼠,股票,食品饮料,休闲食品,零食,65.96,0.9825,2019-07-12,放宽档(0.75-1亿),
002695.SZ,煌上煌,股票,食品饮料,休闲食品,熟食,59.48,0.8838,2012-09-05,放宽档(0.75-1亿),
603886.SS,元祖股份,股票,食品饮料,休闲食品,烘焙食品,27.67,0.8572,2016-12-28,放宽档(0.75-1亿),
603198.SS,迎驾贡酒,股票,食品饮料,白酒,白酒Ⅲ,300.96,1.957,2015-05-28,1亿以上,
600872.SS,中炬高新,股票,食品饮料,调味发酵品,调味发酵品Ⅲ,136.12,1.7041,1995-01-24,1亿以上,
603317.SS,天味食品,股票,食品饮料,调味发酵品,调味发酵品Ⅲ,135.84,1.23,2019-04-16,1亿以上,
002507.SZ,涪陵榨菜,股票,食品饮料,调味发酵品,调味发酵品Ⅲ,127.05,1.1934,2010-11-23,1亿以上,
603027.SS,千禾味业,股票,食品饮料,调味发酵品,调味发酵品Ⅲ,97.54,1.0417,2016-03-07,1亿以上,
603696.SS,安记食品,股票,食品饮料,调味发酵品,调味发酵品Ⅲ,32.32,3.1743,2015-12-09,1亿以上,
002568.SZ,百润股份,股票,食品饮料,非白酒,其他酒类,185.93,1.7351,2011-03-25,1亿以上,
601579.SS,会稽山,股票,食品饮料,非白酒,其他酒类,135.83,5.4355,2014-08-25,1亿以上,
600059.SS,古越龙山,股票,食品饮料,非白酒,其他酒类,89.06,2.8451,1997-05-16,1亿以上,
603779.SS,威龙股份,股票,食品饮料,非白酒,其他酒类,26.6,1.3841,2016-05-16,1亿以上,
300146.SZ,汤臣倍健,股票,食品饮料,食品加工,保健品,157.33,1.0766,2010-12-15,1亿以上,
300741.SZ,华宝股份,股票,食品饮料,食品加工,其他食品,138.7,1.6915,2018-03-01,1亿以上,
002597.SZ,金禾实业,股票,食品饮料,食品加工,其他食品,124.01,1.6257,2011-07-07,1亿以上,
002557.SZ,洽洽食品,股票,食品饮料,食品加工,其他食品,91.21,1.2571,2011-03-02,1亿以上,
