sw_l1,sw_l2,现有,合格候选总数,目标,待补,候选前8
建筑装饰,基础建设,2,18,8,6,中国能建、中国中铁、中国交建、中国铁建、中国电建、四川路桥、中国核建、隧道股份
建筑装饰,工程咨询服务,1,12,8,7,太极实业、华建集团、深城交、中国瑞林、地铁设计、矩阵股份、中粮科工、甘咨询
建筑装饰,房屋建设,1,5,5,4,中国建筑、高新发展、上海建工、浙江建投、宁波建工
建筑装饰,装修装饰,0,10,8,8,江河集团、金 螳 螂、东易日盛、海南发展、宝鹰股份、德才股份、中天精装、郑中设计
房地产,房地产开发,13,36,8,0,招商蛇口、保利发展、陆家嘴、张江高科、万 科Ａ、先导基电、海南机场、万通发展
房地产,房地产服务,0,3,3,3,我爱我家、世联行、特发服务
有色金属,小金属,11,23,8,0,中钨高新、北方稀土、中国铀业、厦门钨业、金钼股份、云南锗业、中国稀土、锡业股份
有色金属,工业金属,10,49,8,0,紫金矿业、洛阳钼业、宏桥控股、中国铝业、江西铜业、云铝股份、西部矿业、铜陵有色
有色金属,能源金属,7,12,8,1,藏格矿业、赣锋锂业、天齐锂业、华友钴业、博迁新材、盛新锂能、永兴材料、腾远钴业
有色金属,贵金属,6,11,8,2,山东黄金、中金黄金、赤峰黄金、山金国际、湖南黄金、湖南白银、西部黄金、四川黄金
有色金属,金属新材料,1,19,8,7,金力永磁、铂科新材、斯瑞新材、龙磁科技、江南新材、博威合金、安泰科技、中科三环
机械设备,专用设备,13,73,8,0,大族数控、杰瑞股份、英维克、芯碁微装、豪迈科技、科达制造、中创智领、日联科技
机械设备,工程机械,7,17,8,1,三一重工、恒立液压、徐工机械、中联重科、杭叉集团、浙江鼎力、艾迪精密、柳 工
机械设备,自动化设备,13,49,8,0,宇树科技-W、汇川技术、华工科技、罗博特科、大族激光、中控技术、绿的谐波、杰普特
机械设备,轨交设备,2,8,8,6,中国中车、时代电气、中国通号、九州一轨、中国铁物、时代新材、永贵电器、众合科技
机械设备,通用设备,17,114,8,0,联讯仪器、鼎泰高科、精测电子、中集集团、精智达、国仪公司-U、申菱环境、华曙高科
