sw_l1,sw_l2,symbol,name,组内排名,mktcap_yi,avg_amount_20d_yi,listing_date,sw_l3
农林牧渔,农产品加工,600737.SS,中粮糖业,2,305.0,19.4557,1996-07-31,其他农产品加工
农林牧渔,农产品加工,605198.SS,安德利,3,267.69,3.0454,2020-09-18,果蔬加工
农林牧渔,农产品加工,000930.SZ,中粮科技,4,92.64,4.0093,1999-07-12,其他农产品加工
农林牧渔,农产品加工,600251.SS,冠农股份,5,79.18,3.8723,2003-06-09,果蔬加工
农林牧渔,农产品加工,000019.SZ,深粮控股,6,77.45,2.8276,1992-10-12,粮油加工
农林牧渔,农产品加工,600127.SS,金健米业,7,76.56,28.3735,1998-05-06,粮油加工
农林牧渔,农产品加工,600962.SS,国投中鲁,8,67.49,1.4596,2004-06-22,果蔬加工
农林牧渔,动物保健,002868.SZ,绿康生化,2,35.54,1.0731,2017-05-03,动物保健Ⅲ
农林牧渔,林业,000592.SZ,平潭发展,1,168.26,21.3263,1996-03-27,林业Ⅲ
农林牧渔,林业,002679.SZ,福建金森,2,26.59,1.7053,2012-06-05,林业Ⅲ
农林牧渔,渔业,000798.SZ,中水渔业,1,36.81,4.0087,1998-02-12,海洋捕捞
农林牧渔,渔业,600467.SS,好当家,2,35.36,1.1086,2004-04-05,水产养殖
农林牧渔,渔业,300094.SZ,国联水产,3,32.72,2.737,2010-07-08,水产养殖
农林牧渔,渔业,600257.SS,大湖股份,4,26.47,1.0751,2000-06-12,水产养殖
农林牧渔,种植业,601118.SS,海南橡胶,1,259.76,12.9751,2011-01-07,其他种植业
农林牧渔,种植业,600598.SS,北大荒,2,221.32,8.4077,2002-03-29,粮食种植
农林牧渔,种植业,000998.SZ,隆平高科,3,128.28,6.631,2000-12-11,种子
农林牧渔,种植业,601952.SS,苏垦农发,4,124.16,4.42,2017-05-15,粮食种植
农林牧渔,种植业,002215.SZ,诺 普 信,5,96.81,3.3889,2008-02-18,其他种植业
农林牧渔,种植业,002041.SZ,登海种业,6,86.33,7.8882,2005-04-18,种子
农林牧渔,种植业,600313.SS,农发种业,7,78.39,10.0485,2001-01-19,种子
农林牧渔,种植业,600108.SS,亚盛集团,8,76.71,11.7,1997-08-18,其他种植业
