from_combo,to_combo,1w_n,1w_mean,1w_median,1w_std,1w_win,1w_p25,1w_p75,2w_n,2w_mean,2w_median,2w_std,2w_win,2w_p25,2w_p75,1m_n,1m_mean,1m_median,1m_std,1m_win,1m_p25,1m_p75,2m_n,2m_mean,2m_median,2m_std,2m_win,2m_p25,2m_p75,events
无无无,无无正,713,0.003417119359151949,-0.004179728317659226,0.07095488831373283,0.45722300140252453,-0.03531804733727806,0.03327495621716281,703,0.003524349418741987,-0.0013513513513514486,0.09262758679566595,0.492176386913229,-0.05342011392603718,0.05122890410361525,703,0.019688614822591308,0.004136504653567519,0.1429285558825529,0.5149359886201992,-0.06346041397165031,0.07562918477180014,690,0.04544509054248494,-0.0032175751784153106,0.23406978623224822,0.48695652173913045,-0.08391831947298334,0.12557034348612028,713
无无无,无无负,444,0.008482611492393112,0.005636635895125419,0.07342209502946648,0.5337837837837838,-0.029531082928710484,0.04123226388648871,425,0.010695398202043111,0.0048661800486615725,0.10400000068605897,0.5270588235294118,-0.046014790468364986,0.0692055692055693,425,0.006955082826697446,0.0021685254027261625,0.13620492449616142,0.5105882352941177,-0.061969172695816144,0.0738461538461539,419,0.0015960921237755375,-0.01457096600107921,0.17574724568634464,0.4630071599045346,-0.10649938638877454,0.08690272528346932,444
无无无,无正无,2997,0.002149331293957522,-0.0033112582781458233,0.06530851048044824,0.4631297964631298,-0.03241960991038484,0.030891878425510777,2992,0.006248173423678624,-0.00347682869705801,0.0919403724110757,0.4742647058823529,-0.04691855690991878,0.04585474579917287,2983,0.016426986392203642,-0.003994673768308754,0.13993688241701002,0.4813945692256118,-0.06377914281725533,0.07300110084746803,2965,0.02785348888091147,-0.006525285481239762,0.2147746768270029,0.47892074198988194,-0.09503239740820724,0.10210698266666651,3007
无无无,无正正,132,0.01525262598998043,0.01087568269842265,0.06583619670604961,0.5681818181818182,-0.027461788033729284,0.05036584797501975,132,0.01607207276501045,0.002540938942900528,0.09493056385520073,0.5075757575757576,-0.04123448603173993,0.06409929072242698,132,0.006913748877536035,-0.010159553879897365,0.13151514143299017,0.45454545454545453,-0.08425644126901496,0.05441072812812775,127,0.0196921076260028,-0.014122596153846034,0.1892718019509547,0.4645669291338583,-0.10911046976061023,0.10518157909567494,132
无无无,无负无,2854,0.001576768702609706,-0.001236095831805395,0.0589192258967146,0.4821303433777155,-0.028470379787426503,0.02664694244620891,2849,0.0046246362567388425,-0.0009820551736451355,0.08169038583937475,0.48999648999649,-0.040300375469336736,0.04109040007656972,2848,0.012081896205005447,0.0,0.12087584482703466,0.4961376404494382,-0.058837802348373824,0.06767572785782527,2839,0.041598608414470835,0.01688659766277123,0.19706238142851742,0.5512504402958789,-0.06702255481724045,0.11508923320280673,2860
无无无,无负正,5,-0.016954834223275216,0.0033333333333334103,0.0580326097545477,0.6,-0.043557168784029154,0.00920245398773023,5,0.0020528829234173207,0.02760736196319047,0.07591902325062913,0.6,-0.014519056261343088,0.05888888888888877,5,-0.006513591029053712,-0.012150394999999925,0.061513768002507886,0.4,-0.02177858439201452,0.03586889301174989,5,-0.037857907904728386,-0.06352087114337568,0.07375326135478946,0.2,-0.08289855072463759,-0.034436906111111054,5
无无无,无负负,77,0.016870011937827414,0.006827309236947743,0.0663496154584105,0.5584415584415584,-0.022082018927444658,0.0556900726392251,77,0.02831350394836849,-0.004048582995951566,0.11356859190242426,0.45454545454545453,-0.058047493403694084,0.07579983593109096,77,0.0009400532507023614,-0.04433962264150959,0.15174420851950363,0.2987012987012987,-0.09025407660219942,0.03111858704793935,73,0.009514700696875062,-0.03976435935198819,0.17316795322660908,0.3698630136986301,-0.10094637223974767,0.06566297841465607,77
无无无,正无无,52993,0.006433881376459376,0.0,0.06887385681400074,0.4936878455645085,-0.028727092620109085,0.03038674033149169,52838,0.010889889887848628,0.002244669618201467,0.09869162520134192,0.5116393504674666,-0.040407729254272606,0.04693400141084697,52453,0.022832757235619998,0.004807692307692291,0.1504278662823224,0.5187501191542905,-0.05943358595931403,0.0779738190096757,52059,0.04492279083568371,0.007042253521126751,0.22906155845216175,0.5195835494342957,-0.0836129785405148,0.12154423165112571,53107
无无无,正无正,178,0.020517019373672077,0.0055703072823511945,0.08392299163167584,0.5337078651685393,-0.021454033325616406,0.04836619684605986,178,0.018779008239228474,0.0009349149487095643,0.11441360372784574,0.5056179775280899,-0.04019912618545915,0.05157730121902765,178,0.02961434608544439,0.004039630749224421,0.15435022003035107,0.5337078651685393,-0.055970081368852315,0.08392343350383646,178,0.07644429483832843,0.02662323898120511,0.25744150269351085,0.5730337078651685,-0.062114024782446875,0.13983840621265003,178
无无无,正无负,66,0.028768514240710228,0.015521844162116216,0.07239220613915107,0.6363636363636364,-0.01054874418399529,0.04412539294446394,65,0.03016620638051155,0.011308068459657816,0.10377957962485404,0.5538461538461539,-0.03399948092395544,0.06374133949191707,65,0.06764305233296963,0.036029411764705976,0.18207596902308326,0.676923076923077,-0.03738317757009357,0.11786148238153116,63,0.08455275760546715,0.07230409882088717,0.2306228356352472,0.6349206349206349,-0.05967515858902428,0.1814696081568974,66
无无无,正正无,1209,-0.0007871411596575661,-0.007407407407407529,0.06957713688412967,0.4466501240694789,-0.038938053097345215,0.031754874651810594,1208,0.007578562717189804,-0.003302684248988219,0.11152878211339844,0.4826158940397351,-0.05177633431910997,0.04793507396441854,1206,0.020667716324643776,-0.006766866662626325,0.1630558677754211,0.478441127694859,-0.06959894893117949,0.08137523135109048,1201,0.0419787963920375,-0.011070110701106861,0.26800138516733957,0.47710241465445463,-0.10597302504816974,0.11851851851851869,1209
无无无,正正正,64,0.013341243092788103,-0.0003905672505594704,0.09828911196986495,0.5,-0.04304913677796973,0.03744727131823905,64,-0.006698711867227427,-0.017827353215284225,0.09730659931134973,0.421875,-0.07567553749009387,0.040044631746456505,64,0.009058301104180542,-0.02793267132256655,0.1681738649938863,0.40625,-0.10446655070192701,0.09037788713707329,64,0.054754353634120755,-0.002948310625516315,0.23379594796599568,0.484375,-0.09112289787873748,0.15957792949493393,64
无无无,正负无,258,0.00633664210625803,-0.0006218905472636926,0.05487906915838872,0.4883720930232558,-0.023888826533475516,0.025169075528203855,258,0.008654608877922139,0.0028339918570369216,0.07410751944760381,0.5193798449612403,-0.03905479719291599,0.05418552791464698,258,0.012680909107946333,0.0029768177068966173,0.12113712075212797,0.5077519379844961,-0.06282984167599556,0.0729105807431642,258,0.011218448454543105,-0.004474146419352287,0.17252566549965517,0.4844961240310077,-0.09193228656971356,0.07739048884373423,258
无无无,正负负,15,0.006341184678939501,-0.005347593582887611,0.10171212180410351,0.4666666666666667,-0.05067351113199464,0.025009511223243464,15,0.004776028239395351,0.013740458015267132,0.11265288077664999,0.5333333333333333,-0.07738592004307437,0.043589666143127426,15,0.03462439157352551,-0.02794242167654526,0.14387491056940327,0.4666666666666667,-0.06185224647045634,0.10029549372075841,15,0.07116122598376774,0.08855267619047624,0.13549360157075663,0.6666666666666666,-0.0304382878137216,0.117683546745465,15
无无无,负无无,49963,0.001590026127772518,-0.0009680542110358514,0.058888078238672675,0.48553929908132015,-0.0288461538461538,0.028455284552845406,49716,0.0038631212331675727,-0.002639517720698814,0.08457941830320605,0.47805535441306624,-0.041789808322159394,0.040000000000000036,49332,0.011069602945861925,-0.003381620967231602,0.13116444906887162,0.4824049298629693,-0.060713107284268625,0.06387766961556102,49112,0.029962591217570268,0.0,0.2012456728194019,0.4984321550741163,-0.08259607392558552,0.10321031019686927,50258
无无无,负无正,52,-2.3832785515888787e-05,0.0024224578855990275,0.09478018218585432,0.5192307692307693,-0.0346251851479929,0.038410880656610524,49,0.017877118506431006,-0.004424778761061954,0.11946876722074634,0.4897959183673469,-0.04354838709677433,0.07621577441765437,49,0.03857089284564046,-0.013264427217915431,0.17706931055476946,0.4897959183673469,-0.07036604505632049,0.11634844868735073,49,-0.015788068219403366,-0.04909560723514195,0.21918610234514654,0.42857142857142855,-0.1575167940699559,0.07448789571694614,52
无无无,负无负,55,0.01637216483285766,0.005483870967741833,0.08070140245319168,0.5454545454545454,-0.02836470841218508,0.06833784738577486,55,0.020570649463029892,0.02100288789708582,0.11378195227990842,0.6,-0.04304476507584165,0.07824580072200726,55,0.04339110609317042,0.004885993485342022,0.14731117379274003,0.509090909090909,-0.07382070748447933,0.12460838659719775,55,0.086277768094765,0.03194888178913735,0.22870432870019872,0.6727272727272727,-0.05780652825121363,0.18980552095152714,55
无无无,负正无,236,0.007306492276523925,0.0,0.06671690098612235,0.4957627118644068,-0.023871299965885467,0.03097183224804345,236,0.005570407842589097,-0.013176221953209166,0.0963398275673382,0.4364406779661017,-0.05166791632874787,0.039190309567339265,235,0.01951780396166041,0.000796019900497491,0.13153390741630963,0.502127659574468,-0.06090727816550345,0.06932670371220384,235,0.025928177780621644,-0.013686322475247592,0.21644509773958104,0.46382978723404256,-0.10149904417398958,0.09239136543430326,237
无无无,负正正,10,0.055896352925109215,0.04415150051490491,0.09934748786928366,0.7,-0.007213601851855322,0.09728113811449784,10,0.12005056057724399,0.063709213513508,0.16108600853230198,0.8,0.0217996846975681,0.1681587499523136,10,0.13129202403352758,0.06196988911312673,0.25598545985131355,0.7,0.006521192976027185,0.1768893893297218,10,0.11910072493058965,0.0644520846721729,0.30184318484796213,0.7,-0.04120742809551334,0.25114509123480583,10
无无无,负负无,1133,0.006479609783510122,0.004784688995215447,0.06746512423971024,0.5481023830538394,-0.026615969581749055,0.0347985347985349,1132,0.007468848346076491,0.0004894609440417863,0.08718778615033498,0.5017667844522968,-0.038096411433889865,0.04953281927446357,1132,0.01872153448299971,0.007622629969418981,0.12212632840624497,0.5326855123674912,-0.051790826282508445,0.07210821633441755,1132,0.0376878377084774,0.014898521774879048,0.17767824142842478,0.5468197879858657,-0.05993364960323225,0.10323850400806239,1133
无无无,负负负,20,0.047196065821109426,0.04254075124025525,0.07904050467687129,0.7,-0.019136375526365684,0.09825252757282082,20,0.06482362799812078,0.06132000748285504,0.08367161605538508,0.7,-0.0037831170426942395,0.11951564169544993,20,0.07858611904184332,0.11855544003424867,0.13553102761429642,0.75,0.05122652705729214,0.16779674149667573,20,0.09633994680362053,0.11860773973790428,0.14585641228401985,0.8,0.02270290746049708,0.17640202374756025,20
无无正,无无无,2485,0.006696991568504703,0.0011548556430445167,0.07315226249858225,0.5062374245472837,-0.030702209314386386,0.037553196464481076,2467,0.011966999969688743,-0.00019723865877718794,0.09588315476137892,0.4973652209160924,-0.04326641143507376,0.05214878718471294,2467,0.022023509019346414,-0.0009259259259259967,0.15820343817874813,0.49533846777462504,-0.06515689665897212,0.07882270168855521,2425,0.05625048411645751,0.008435582822085896,0.2601808458033059,0.5195876288659794,-0.08480176211453738,0.12579957356076754,2485
无无正,无无负,150,0.06324855938510528,0.03527554842161573,0.11568503175890776,0.7266666666666667,-0.006172382449378566,0.10842142353770251,150,0.08059253058950658,0.04757814374986702,0.16016891376373027,0.6466666666666666,-0.02595328094432839,0.1312749263498595,150,0.06026013883886933,0.06012939454420796,0.17625887524704634,0.6333333333333333,-0.04847422921398295,0.1653647996485183,129,0.05771372793099999,0.03589333498513381,0.25755654151168983,0.5503875968992248,-0.12727272727272743,0.18614088612836444,150
无无正,无正无,3,-0.0283002023637553,-0.03784860557768932,0.016872131074239027,0.0,-0.038040700409915196,-0.023333905924562415,3,-0.07217278109390361,-0.06908378245957869,0.03177402047740917,0.0,-0.08723113425767781,-0.055569928612966946,3,-0.15496869671071134,-0.15335619794218514,0.03329428484748281,0.0,-0.17119806498638568,-0.1379330790507739,3,-0.14652035034178112,-0.14159725624693775,0.1484455270988637,0.0,-0.21948172073179517,-0.07109743290434539,3
无无正,无正正,1863,-0.0011592003937905715,-0.008754863813229541,0.08910323890393491,0.4406870638754697,-0.04912652060607936,0.03876878002155992,1861,0.011925426901488867,-0.006389776357827559,0.13236860904290515,0.47178936055883935,-0.0643274853801169,0.06967984934086635,1861,0.024203950739553108,-0.008658008658008698,0.20779266206494265,0.4712520150456744,-0.08990186767964536,0.09745127436281864,1856,0.0463965214027917,-0.01058695499762402,0.2740639664737071,0.47737068965517243,-0.11765464895635683,0.1408357589143887,1867
无无正,无负无,87,0.031792267313685126,0.007682458386683688,0.09312114476249421,0.5517241379310345,-0.029805571914319207,0.09407804062903058,87,0.0543526417951101,0.02838221381267725,0.11992117572825266,0.5862068965517241,-0.0347985948349806,0.13903381642512092,87,0.009312668279720196,0.03357865685372596,0.12371293982519448,0.6206896551724138,-0.09303253788547905,0.08997282584137867,69,0.015799349099586354,-0.005015021939953623,0.2067903222913626,0.463768115942029,-0.14241001564945222,0.1400966183574881,87
无无正,无负正,618,0.00021807657442866465,-0.0025030125793556457,0.07673903520938687,0.48220064724919093,-0.04116302482175857,0.03346586969656573,618,0.01718834569503071,0.013341468726376426,0.11034792478137655,0.558252427184466,-0.04457501692931015,0.07104630843162951,618,0.0285504938145841,0.005395659736037395,0.18254119035007746,0.5080906148867314,-0.06773052935198354,0.08288200988746541,599,0.05623207754115821,0.015497553017944421,0.23785455374624156,0.5409015025041736,-0.08772502643926516,0.12874658276042794,619
无无正,无负负,41,0.1391381037353339,0.10374300029472439,0.14777687546818444,0.8536585365853658,0.05025847214244683,0.23621624042638945,41,0.2311713391222191,0.18099827032369653,0.2386742323496291,0.8292682926829268,0.05298570227081578,0.3735544403229327,41,0.15206662236969218,0.15721649484536093,0.2519882575883713,0.6829268292682927,-0.04786703601108022,0.3068649161657704,18,-0.004848639490342952,-0.07037206749139052,0.2216290419413595,0.3333333333333333,-0.1693279107415203,0.16057915647921767,41
无无正,正无无,356,0.005809801199949768,0.003794222915615153,0.05964358990444512,0.5393258426966292,-0.02562872668091762,0.032022374372306595,351,0.009621973378894328,0.0009244992295838195,0.09720129161971021,0.5042735042735043,-0.0505215396940929,0.05048733744010958,351,0.017177157766035327,0.0033407572383072903,0.14059029640892415,0.5185185185185185,-0.07315760247018055,0.09578592549980758,351,0.044788803863677513,0.014025245441795287,0.21715632542585456,0.5185185185185185,-0.09936647922862668,0.1372299646927161,356
无无正,正无正,10174,0.006632220469921235,-0.0011504714615159228,0.09091248348989724,0.4904658934539021,-0.04121810014328317,0.04175248463449727,10159,0.014974747443693601,0.0018416206261508972,0.1283066587861001,0.508120878039177,-0.05681510553827074,0.0649439053972104,10109,0.02684101416181207,-0.00231362467866314,0.19110278180848916,0.4916411118805025,-0.08565737051792821,0.10289855072463783,10074,0.05927629234406137,0.006478835978835917,0.27453739411743605,0.5158824697240421,-0.10157731566523887,0.1536139905293628,10189
无无正,正无负,4,0.011549808128412775,0.00427066905184853,0.058765040417026494,0.5,-0.03380550437250368,0.049625981552764986,4,-0.02775264385157561,-0.038832634832178414,0.09912743492270475,0.5,-0.09450488290490688,0.02791960422115286,4,-0.046679317374194895,-0.1051344219105575,0.13169732778301607,0.25,-0.12149748293802903,-0.030316256346723358,4,-0.013790452196037,-0.041737786622428164,0.12199498709395618,0.25,-0.07256574510292269,0.01703750628445752,4
