to_combo,direction,1w_n,1w_mean,1w_median,1w_std,1w_win,1w_p25,1w_p75,2w_n,2w_mean,2w_median,2w_std,2w_win,2w_p25,2w_p75,1m_n,1m_mean,1m_median,1m_std,1m_win,1m_p25,1m_p75,2m_n,2m_mean,2m_median,2m_std,2m_win,2m_p25,2m_p75,events
无无无,升级,59005,0.0027506467130480844,-0.0006451612903225,0.060421675297758146,0.48763664096263026,-0.0289274588340008,0.0294530154277701,58803,0.004724299788111281,-0.001531393568147,0.08580106336363263,0.4869819567028893,-0.04260242525394245,0.042620455622925546,58213,0.012319274853510717,-0.0023659305993689,0.13450545075184497,0.4881555666260114,-0.0633074935400516,0.0671641791044774,57503,0.03184436928597268,0.0009242144177448,0.21326299309699465,0.5017129541067422,-0.08634538152610449,0.10594003945901534,59296
无无无,换挡,2425,0.005763206700314198,0.002433090024331,0.06272531293429122,0.5175257731958763,-0.0278592375366568,0.0333850931677017,2418,0.01135884213785729,0.0028334296538880498,0.0897074948305596,0.511166253101737,-0.040975056997432126,0.05153732804510998,2406,0.02418793281505142,0.0044485942610306,0.14777356199869845,0.5178719866999169,-0.06056130728864342,0.08209577940461553,2363,0.040254443078148676,0.0053097345132744,0.23353210764698576,0.5141768937790944,-0.08808101254008549,0.11761176421181449,2429
无无无,降级,60340,0.0033313500185418107,-0.00015806109068645,0.06256010944001386,0.49047066622472657,-0.030261462796026376,0.031405253626394423,60104,0.00631675421960258,-0.0009328358208956,0.09285816103748162,0.49151470783974444,-0.04388614558971422,0.045683943670719845,59579,0.014863079295483781,-0.0020408163265308,0.14575171210420948,0.4900216519243358,-0.06576750777833135,0.07165923682728875,58749,0.0330917806180316,-0.0015060240963855,0.22205024678776222,0.49440841546239084,-0.0905368516833486,0.1088573360378633,60557
无无正,升级,22949,0.0031671644045130343,-0.0007389162561576,0.07149108433527047,0.4903917382021003,-0.0341349883630722,0.0349783549783551,22936,0.004962293492140984,-0.00176289148388995,0.10507268881916133,0.4883589117544472,-0.04996967175709588,0.05008862945156055,22870,0.015398841141897629,-0.0053763440860215,0.16679115697777616,0.47612592916484475,-0.07279194618312995,0.0739853849619352,22721,0.03361483433004494,-0.0050547598989048,0.23221931114777003,0.4858060824787641,-0.0973193473193474,0.1108004194337644,22974
无无正,换挡,1525,0.005352746483756937,0.0003343363423604,0.07016764283675413,0.5003278688524591,-0.0305044974579585,0.0387469084913436,1524,0.010401772006831548,0.0006661378311809999,0.11096812872445123,0.5013123359580053,-0.0451767212474743,0.05622331724055377,1512,0.02303794781632789,0.0,0.18336417362274574,0.49933862433862436,-0.06567990912676352,0.08178884798919166,1505,0.03886322553953375,-0.0057733685344825,0.25628417096039335,0.48239202657807306,-0.0994328922495273,0.111340206185567,1531
无无正,降级,28394,0.004828509208822793,-0.0018552882791368999,0.07834426257835125,0.4832358949073748,-0.0375083699131999,0.039608350430077044,28369,0.007596852402189162,-0.0033670033670033,0.11274418918489633,0.4790087771863654,-0.0536013400335009,0.0538745387453873,28279,0.015947775328450143,-0.0071428571428571,0.17340503728108603,0.47056119381873474,-0.07994186046511625,0.0802855365975602,28195,0.0322255578831895,-0.0093114155072954,0.2458563623952484,0.4737364780989537,-0.1063395877869167,0.11192220870886191,28427
无无负,升级,21917,0.005195673230934144,0.0007812500000001,0.06641133117016408,0.5030341743851805,-0.0281812899477048,0.0317220543806644,21857,0.008275117553443302,0.0016129032258063,0.09102624165140716,0.5074346891156152,-0.0416171224732461,0.0477379592487314,21590,0.020712170648468874,0.0058017135862913,0.1388029390634622,0.5208893006021306,-0.05966241079779237,0.08018971732448403,21260,0.04018457744126977,0.010808155896564451,0.20912201579977746,0.5325023518344308,-0.0770656173095197,0.11777341316372461,21998
无无负,换挡,1662,0.009890882308738034,0.0033380597896728002,0.06898251806131553,0.5342960288808665,-0.02463922069689565,0.03459916357741785,1657,0.013236696623136568,0.0054450757575756,0.08555258787253044,0.5322872661436331,-0.0351123595505618,0.0499999999999998,1644,0.030302753634034733,0.01454667163140385,0.13767214900861538,0.5577858880778589,-0.0505793632305567,0.0915405932205699,1635,0.03393251159441815,0.0124929017603634,0.1926821293491175,0.5370030581039755,-0.08331246293861949,0.11639991028002444,1666
无无负,降级,21070,0.0039256813074840455,0.00117181780747685,0.06076164540663798,0.5056478405315614,-0.0284501233822147,0.0320197044334977,20967,0.008231642778450043,0.0033426183844011,0.08604038416190492,0.5185291171841465,-0.0391747154369113,0.048562933597621497,20753,0.013616298121848376,0.0018570102135559,0.13385259107588726,0.5058545752421336,-0.0596616206589492,0.0723047127178824,20176,0.03099729729700149,0.00474262579525725,0.2115888337325912,0.5128865979381443,-0.08043571372161576,0.10693032672225533,21161
无正无,升级,15206,0.006440909355094842,0.00122699571228975,0.06530967819849703,0.5070366960410364,-0.02852862805127145,0.033357867190055575,15152,0.010901109570232067,0.00260150806014855,0.09388745193218094,0.5154435058078142,-0.04115226337448552,0.0492893942539022,14997,0.018605558799126103,0.0010183299389001,0.1461178195733204,0.5022337800893512,-0.0609037328094301,0.0722379603399434,14707,0.037753106324298326,-4.608719697662966e-05,0.22608353187520122,0.4973821989528796,-0.08779951593384436,0.1118218619805605,15242
