rule,label,total_return,annual_return,max_drawdown,sharpe,calmar,win_rate,payoff_ratio,trades,turnover,avg_positions,max_positions_held,flat_day_pct,avg_holding_days,total_cost
random,随机选（基准）,0.7119370370233644,0.0752642917416877,-0.43314673811988313,0.4775461287231913,0.1737616496164323,0.36198347107438017,2.0933102588618437,1214,239.7223865241987,4.475910064239828,5,0.015524625267665952,13.662809917355371,6070.0
rank:trend_score,趋势强度降序（当前做法）,0.8569224052499373,0.08712799216137945,-0.33582161346700523,0.533511038375941,0.2594472442136005,0.3456998313659359,2.293966152475663,1190,235.94875802784253,4.485546038543897,5,0.013918629550321198,14.006745362563239,5950.0
rank:trend_score:asc,趋势强度升序（反向对照）,0.8252246264698173,0.08460450679897491,-0.273626088979245,0.5154360263491287,0.30919751517331484,0.37142857142857144,2.0568412734479433,1193,236.61842313412177,4.457173447537473,5,0.019271948608137045,13.878991596638656,5965.0
random_sub:0.2|random,随机保留 20%（证伪对照）,1.9983121951853846,0.15975667509939306,-0.26576620056059874,0.8916834652561165,0.6011173533820607,0.36065573770491804,2.7741059757391637,1102,215.89411457936285,4.28693790149893,5,0.016595289079229122,14.351548269581057,5516.213901479776
pct:trend_score:0.2|rank:trend_score,趋势强度前 20% 分位,1.388065552193786,0.12467523171433981,-0.3185547130983497,0.705760640485329,0.3913777652250523,0.35701598579040855,2.379859178583281,1130,225.0401471138006,4.339935760171306,5,0.017130620985010708,14.25222024866785,5650.556921045031
pct:trend_score:0.5|rank:trend_score,趋势强度前 50% 分位,1.1575800693598706,0.10937272691513455,-0.34925757367648924,0.6379051800008426,0.31315778141562783,0.3588850174216028,2.295732749214058,1152,228.1629993878388,4.413276231263383,5,0.015524625267665952,14.235191637630662,5760.0
young_golden:20|pct:trend_score:0.2|rank:trend_score,金叉≤20天 + 强度前 20%,1.388065552193786,0.12467523171433981,-0.3185547130983497,0.705760640485329,0.3913777652250523,0.35701598579040855,2.379859178583281,1130,225.0401471138006,4.339935760171306,5,0.017130620985010708,14.25222024866785,5650.556921045031
rank:er,路径平滑度 ER 降序,0.8447350324696596,0.08616218738037329,-0.40300362792828304,0.5212886624230799,0.2138000291047166,0.34918032786885245,2.260072132753514,1224,242.96112377218472,4.480192719486081,5,0.014453961456102784,13.583606557377049,6120.0
rank:atr_pct,波动率 ATR% 降序（预期是 beta 伪装）,1.3199426638721885,0.12029041420612385,-0.38152913679708966,0.6537079975772221,0.31528500081528094,0.3524451939291737,2.481672292424089,1190,233.94461701374178,4.4796573875803,5,0.014453961456102784,14.023608768971332,5950.287744215705
