距信号天数,样本数,mean_5d%,median_5d%,mean_10d%,median_10d%,mean_20d%,median_20d%
0,5388,0.24,0.0,0.42,0.0,0.71,-0.03
1,5404,0.25,0.0,0.37,0.0,0.76,-0.07
2,5342,0.25,0.0,0.37,0.07,0.83,-0.05
3-5,15505,0.22,0.0,0.19,0.0,0.59,-0.08
6-10,24163,0.11,0.0,0.22,0.0,0.66,-0.11
