positions,annual_return,max_drawdown,sharpe,calmar,trades,avg_positions,max_positions_held,flat_day_pct,turnover
2,0.08783481221713285,-0.3631740640767285,0.48450293100118746,0.241853207333043,497,1.8463597430406853,2,0.03747323340471092,251.85891752944931
5,0.0752642917416877,-0.43314673811988313,0.4775461287231913,0.1737616496164323,1214,4.475910064239828,5,0.015524625267665952,239.7223865241987
8,0.10845266859823943,-0.3080379811621212,0.6462148043786091,0.35207563752068777,1795,6.989293361884369,8,0.01284796573875803,222.2821059804425
12,0.12691894654234348,-0.2025314828072522,0.760618966613778,0.6266628021636091,2584,10.176659528907923,12,0.011241970021413276,214.26695319019947
20,0.1436587469449606,-0.23484984087691219,0.8748741135920021,0.6117046807804908,4015,16.094218415417558,20,0.007494646680942184,198.14176073964953
30,0.1229028218884114,-0.2571035453642738,0.8345544910490851,0.4780284990402529,5633,22.406852248394003,30,0.008029978586723769,186.78458485014045
