距信号天数,样本数,mean_5d%,median_5d%,mean_10d%,median_10d%,mean_20d%,median_20d%
0,44220,0.57,0.0,1.13,0.17,2.23,0.3
1,44360,0.52,-0.06,1.11,0.04,2.21,0.3
2,43735,0.53,-0.09,1.07,0.0,2.19,0.24
3-5,127417,0.56,-0.06,1.02,0.05,2.06,0.18
6-10,196782,0.54,-0.02,1.07,0.06,2.08,0.08
