feature,target,days,mean_ic,std_ic,ic_ir,pos_pct
trend_score,ret_net_pct,2042,-0.024001647756981482,0.31870870747830354,-0.0753090430032114,0.46474045053868757
trend_score,r_multiple,2042,-0.004818238655206802,0.3178507250330597,-0.015158809704478905,0.49657198824681686
trend_score,holding_days,2041,-0.05163968119406847,0.31580159349092074,-0.16351938134078195,0.43116119549240567
trend_score,fwd20,2023,-0.019112213315987486,0.3241691395186777,-0.05895753477448551,0.47750865051903113
trend_score,fwd60,1984,-0.004638631109861146,0.32396359054194596,-0.01431837170992383,0.4808467741935484
price_direction,ret_net_pct,2042,-0.009109415001387735,0.3177111463824806,-0.028672003186256644,0.4892262487757101
price_direction,r_multiple,2042,-0.005671440908897744,0.32116367515171707,-0.017659036023356525,0.48726738491674826
price_direction,holding_days,2041,-0.04643697169636948,0.31572950268431077,-0.14707834175002812,0.4360607545320921
price_direction,fwd20,2023,-0.009875130958563488,0.32799706332741824,-0.03010737614045582,0.4898665348492338
price_direction,fwd60,1984,0.001523656849396944,0.32376335324518657,0.004706081877781504,0.4873991935483871
confidence,ret_net_pct,2042,-0.018878297206174215,0.3149537485720548,-0.05993990321361505,0.47502448579823703
confidence,r_multiple,2042,0.004242460824191076,0.31586379188043195,0.013431298342030383,0.5078354554358472
confidence,holding_days,2041,-0.042582889405493464,0.3109469966338167,-0.13694581348743734,0.4453699167074963
confidence,fwd20,2023,-0.008629556003336506,0.31878799707064936,-0.027069889966478366,0.4784972812654474
confidence,fwd60,1984,-0.004704108368596301,0.31519085962152266,-0.01492463447145941,0.4904233870967742
er,ret_net_pct,2042,-0.014105955728007009,0.31516687585348774,-0.044757101106540374,0.47747306562193925
er,r_multiple,2042,0.007927244587007429,0.31171275863291065,0.025431248376788354,0.5063663075416258
er,holding_days,2041,-0.030186915336945126,0.3106024800435848,-0.09718826241409662,0.46251837334639884
er,fwd20,2023,-0.006604220582901191,0.3191003052788593,-0.020696378140816298,0.4784972812654474
er,fwd60,1984,-0.004383587627331717,0.31500590997107686,-0.013915890110551287,0.4904233870967742
vol_ratio,ret_net_pct,2042,-0.019326252743132377,0.30417039693726994,-0.0635375859640874,0.4715964740450539
vol_ratio,r_multiple,2042,-0.014920638866009282,0.31157849059486153,-0.047887255752227936,0.4755142017629775
vol_ratio,holding_days,2041,-0.07699479369011897,0.30976898595863667,-0.24855552744198883,0.3939245467907888
vol_ratio,fwd20,2023,-0.02026938143631161,0.31017089825281774,-0.06534907546287662,0.4789915966386555
vol_ratio,fwd60,1984,-0.007108738656843592,0.3169120258727187,-0.02243126822741234,0.4813508064516129
bias_atr,ret_net_pct,2042,-0.0373960070416291,0.329275410083942,-0.11357060350208281,0.45396669931439765
bias_atr,r_multiple,2042,0.0034297709017173813,0.3327253877845628,0.010308113019431304,0.5029382957884427
bias_atr,holding_days,2041,-0.03558598045630778,0.3273973145636807,-0.10869356244944427,0.45271925526702594
bias_atr,fwd20,2023,-0.02973475757539949,0.3392831548403861,-0.08763994660857254,0.46465645081562035
bias_atr,fwd60,1984,-0.007493636775681874,0.3391228905909056,-0.022097112827224864,0.4964717741935484
atr_pct,ret_net_pct,2042,-0.22333572783222264,0.3969973485780724,-0.5625622655469752,0.29431929480901076
atr_pct,r_multiple,2042,0.16793715678206583,0.38163779753646465,0.4400433024876678,0.6674828599412341
atr_pct,holding_days,2041,0.02776324038083113,0.34591739742974403,0.08025974000475028,0.5262126408623224
atr_pct,fwd20,2023,-0.03614122471716954,0.3719802937051272,-0.09715897677584791,0.4542758279782501
atr_pct,fwd60,1984,-0.04152761993729052,0.3621589406299202,-0.11466683623786716,0.4435483870967742
ret20,ret_net_pct,2042,-0.03516013876767533,0.34930787983267214,-0.10065658634588483,0.45298726738491674
ret20,r_multiple,2042,0.010315391367143427,0.32472601706013465,0.03176644563479237,0.5161606268364348
ret20,holding_days,2041,-0.01749767458121013,0.3223426587834438,-0.054282838787916725,0.47280744732974034
ret20,fwd20,2023,-0.02516822150718363,0.35388282785315806,-0.07112021134189382,0.46910528917449335
ret20,fwd60,1984,-0.013420041946755579,0.3547154409065767,-0.03783326125430803,0.48336693548387094
ret60,ret_net_pct,2024,-0.07243218722576611,0.35357848975028433,-0.2048546201917473,0.41551383399209485
ret60,r_multiple,2024,0.029662857718639933,0.3302613310286678,0.08981632099116411,0.5390316205533597
ret60,holding_days,2023,-0.006599297316469904,0.3269320492609436,-0.020185531921352314,0.4819574888779041
ret60,fwd20,2005,-0.04321927075731455,0.36254539781367806,-0.11921064511630101,0.45935162094763093
ret60,fwd60,1966,-0.023690640807399514,0.3499493690345873,-0.06769733825426057,0.470498474059003
dist_ma200,ret_net_pct,1939,-0.08766367322755474,0.3671624284748625,-0.23875992320809197,0.3991748323878288
dist_ma200,r_multiple,1939,0.04983389961642743,0.3450387223473489,0.14442987522501857,0.5600825167612171
dist_ma200,holding_days,1937,0.013659582303095125,0.3439656982091654,0.03971204795772612,0.5110996386164172
dist_ma200,fwd20,1920,-0.029637062742404185,0.37380257605395745,-0.07928533573863374,0.4640625
dist_ma200,fwd60,1881,0.006258112784360732,0.3629402670032861,0.017242817491794238,0.5140882509303561
macd_hist_norm,ret_net_pct,2042,-0.07825506136756476,0.304954403231475,-0.25661233462553223,0.3780607247796278
macd_hist_norm,r_multiple,2042,0.03755905185035023,0.3075884655227062,0.12210812842582883,0.5612144955925563
macd_hist_norm,holding_days,2041,-0.023144785288728247,0.30989599935263623,-0.07468565369374575,0.46741793238608526
macd_hist_norm,fwd20,2023,-0.02171180637630887,0.32230176831340457,-0.06736483789687564,0.45773603559070686
macd_hist_norm,fwd60,1984,-0.02088143986905975,0.3118998635028647,-0.066949179247935,0.45514112903225806
trend_age,ret_net_pct,1911,-0.048104575334679996,0.3172258582412462,-0.1516414065403744,0.43851386708529566
trend_age,r_multiple,1911,0.01034169273411082,0.30335205481175676,0.03409138843819039,0.5279958137100994
trend_age,holding_days,1910,0.001003836740018272,0.3118548495607305,0.003218922974685969,0.5115183246073298
