距信号天数,样本数,mean_5d%,median_5d%,mean_10d%,median_10d%,mean_20d%,median_20d%
0,80354,0.64,-0.12,1.18,0.11,2.24,0.1
1,80858,0.64,-0.11,1.23,0.09,2.24,0.11
2,74108,0.61,-0.11,1.21,0.0,2.17,0.0
3-5,179006,0.56,-0.09,1.08,0.0,2.0,-0.14
6-10,204801,0.6,0.0,0.99,-0.05,1.93,-0.21
