kind,group_by,group,feature,target,days,mean_ic,ic_ir,pos_pct,concentration,half1,half2
state,year,2015,trend_score,ret_net_pct,215,-0.03578355584168046,-0.12883361211809916,0.413953488372093,0.12650944000967224,-0.04463314496238329,-0.02701590736098415
state,year,2016,trend_score,ret_net_pct,217,-0.04386588380741668,-0.14373297433361948,0.4377880184331797,0.1501114907782215,-0.04915166323663597,-0.03862859776745627
state,year,2017,trend_score,ret_net_pct,241,-0.009280293339920621,-0.03454112215710417,0.48132780082987553,0.16738211305086392,-0.0002958875367708715,-0.018190447855441032
state,year,2018,trend_score,ret_net_pct,232,-0.017362873743811083,-0.06310309936606912,0.4353448275862069,0.17776160072147698,-0.059612953334931114,0.02488720584730894
state,year,2019,trend_score,ret_net_pct,229,-0.025792969031057964,-0.11043129809203847,0.4279475982532751,0.1384912348293902,-0.005565836155633862,-0.04584421379452185
state,year,2020,trend_score,ret_net_pct,243,0.013404987613798906,0.07887274360205437,0.551440329218107,0.17091336937013019,-0.027445183246483373,0.0539203210080133
state,year,2021,trend_score,ret_net_pct,243,-0.04008030323957768,-0.2885414995587383,0.41975308641975306,0.15021967265363967,-0.0326643487548287,-0.047435471212156584
state,year,2022,trend_score,ret_net_pct,242,-0.01573819537161423,-0.09348708547841346,0.43388429752066116,0.13135923884684364,-0.008971216148576763,-0.0225051745946517
state,year,2023,trend_score,ret_net_pct,242,-0.008369143802499292,-0.05773492533593536,0.4628099173553719,0.14244491160637343,-0.020036028245661492,0.0032977406406629107
state,year,2024,trend_score,ret_net_pct,242,0.012449600022413214,0.06669891057268817,0.5330578512396694,0.16336423944625303,0.06809178930829335,-0.04319258926346692
state,year,2025,trend_score,ret_net_pct,243,-0.022719759763250413,-0.15283429690157102,0.411522633744856,0.14951454719247975,-0.03556782223681465,-0.009977009277174405
state,year,2026,trend_score,ret_net_pct,169,0.016480935864811103,0.09007070123286258,0.5798816568047337,0.12911943628742834,0.05074614438055819,-0.017381152550750723
state,year,2015,trend_score,fwd20,215,-0.02214542200723295,-0.07649233261363261,0.46511627906976744,0.14295494949232143,-0.03792655981468606,-0.00651040584614514
state,year,2016,trend_score,fwd20,217,-0.0201574068716583,-0.061554651867246866,0.4147465437788018,0.14859562920031413,-0.02107496266625418,-0.019248269020132106
state,year,2017,trend_score,fwd20,241,0.020281092555952573,0.07923396261078408,0.5477178423236515,0.14735308360169658,0.037078616372817605,0.0036223912499707225
state,year,2018,trend_score,fwd20,232,0.011941324153722184,0.044017738821941724,0.5517241379310345,0.14652788069748923,-0.02171545545417403,0.04559810376161838
state,year,2019,trend_score,fwd20,229,-0.02999481862377977,-0.12568842080865023,0.4192139737991266,0.14772307038875368,-0.03712898303338503,-0.022922690426431958
state,year,2020,trend_score,fwd20,243,0.028319871172320932,0.17439136221576604,0.5349794238683128,0.1631722538676667,0.019056094851662014,0.03750771490018757
state,year,2021,trend_score,fwd20,243,-0.02368656965901788,-0.14113087484262507,0.4691358024691358,0.14640467058734824,-0.01681347375554173,-0.0305033287108262
state,year,2022,trend_score,fwd20,242,-0.0059717040284556384,-0.03380777096186206,0.5206611570247934,0.1354906291916759,-0.0018543610992711671,-0.01008904695764011
state,year,2023,trend_score,fwd20,242,-0.007492309111732916,-0.04632966194682453,0.48760330578512395,0.13722077741939193,-0.024010581187776107,0.00902596296431027
state,year,2024,trend_score,fwd20,242,-0.03611284781041362,-0.20616248350172015,0.4380165289256198,0.15720194710443564,0.011645922522097377,-0.08387161814292467
state,year,2025,trend_score,fwd20,243,0.0016899771445476768,0.011382718884553712,0.48148148148148145,0.14940537136063456,-0.026572045958477716,0.029720344320499092
state,year,2026,trend_score,fwd20,149,0.001982078821644525,0.008750302044730174,0.5302013422818792,0.1225414584752492,0.06424627288328731,-0.05945192598584303
state,year,2015,price_direction,ret_net_pct,215,-0.018854167377478612,-0.06594118000933082,0.42790697674418604,0.134808613337052,-0.02393876436553227,-0.013816649991166193
state,year,2016,price_direction,ret_net_pct,217,-0.033237853674250854,-0.10732795925646081,0.4608294930875576,0.1509998513780133,-0.0379993075053779,-0.028520082905794684
state,year,2017,price_direction,ret_net_pct,241,-0.003237100308105115,-0.012358874569617671,0.4979253112033195,0.16624077296071993,-0.0008495012298283986,-0.00560496716259442
