positions,annual_return,max_drawdown,sharpe,calmar,trades,avg_positions,max_positions_held,flat_day_pct,turnover
2,0.04991434502527747,-0.4488712460856542,0.33047744998364464,0.11119969358819823,512,1.8586723768736617,2,0.027837259100642397,255.11672568115682
3,0.05047775078944339,-0.47856414049291973,0.3423605295420509,0.10547750346996632,740,2.76017130620985,3,0.020342612419700215,245.7604221291259
5,0.08712799216137945,-0.33582161346700523,0.533511038375941,0.2594472442136005,1190,4.485546038543897,5,0.013918629550321198,235.94875802784253
8,0.10313947090810593,-0.3296763960278064,0.6264817150179389,0.3128506382343693,1845,6.959850107066381,8,0.013383297644539615,228.51566628705785
12,0.13778063627693293,-0.26707924359904467,0.8090437524508431,0.5158792365152024,2608,10.163811563169165,12,0.011241970021413276,215.1699069864019
15,0.15204708127913102,-0.25402042610352993,0.8876213362302905,0.5985624211856172,3197,12.440042826552462,15,0.010171306209850108,210.8365344518238
20,0.1486776905778313,-0.2398150568222983,0.9038077050082194,0.6199681227188362,4063,16.03372591006424,20,0.008565310492505354,201.11828754828795
30,0.12872320627968836,-0.25781453638170926,0.8658425319159455,0.49928606852914703,5667,22.427730192719487,30,0.006959314775160599,188.11222790141
