kind,group_by,group,feature,target,days,mean_ic,ic_ir,pos_pct,concentration,half1,half2
event,year,2015,trend_score,ret_net_pct,85,-0.03640740562702985,-0.0899834138440137,0.4470588235294118,0.11267735013058479,0.02241231591557533,-0.09385922666864417
event,year,2016,trend_score,ret_net_pct,90,-0.02499228975270338,-0.06693057298785343,0.4777777777777778,0.12820663773484506,-0.029765654549995545,-0.020218924955411204
event,year,2017,trend_score,ret_net_pct,120,0.006916615796016643,0.017085485770295863,0.5166666666666667,0.1363305607507241,0.020435080895120986,-0.006601849303087703
event,year,2018,trend_score,ret_net_pct,108,-0.06129523112560546,-0.1675503544135604,0.4351851851851852,0.12529511650999453,-0.12358373806809052,0.0009932758168795868
event,year,2019,trend_score,ret_net_pct,125,-0.0350902176616995,-0.09735450339793504,0.456,0.13246176493267295,-0.01972474931950777,-0.0502117896809993
event,year,2020,trend_score,ret_net_pct,208,0.03512836860597828,0.12022402719615109,0.5625,0.1636123251661633,0.011286237628025775,0.05897049958393079
event,year,2021,trend_score,ret_net_pct,236,-0.06518437638786721,-0.2504866399546054,0.3644067796610169,0.1435408609540354,-0.02702950915073572,-0.10333924362499868
event,year,2022,trend_score,ret_net_pct,224,-0.04579649463052663,-0.14720203414318564,0.4732142857142857,0.1667665130054904,-0.07093356347776374,-0.020659425783289522
event,year,2023,trend_score,ret_net_pct,233,-0.013499240527613369,-0.0459009607095026,0.48497854077253216,0.13062268205499217,-0.013265298981042208,-0.013731182573786483
event,year,2024,trend_score,ret_net_pct,217,-0.009566519139950045,-0.030329340626922763,0.46543778801843316,0.14467956818777672,0.047399064989956996,-0.06600948323196804
event,year,2025,trend_score,ret_net_pct,233,-0.03249626227975488,-0.12920686074148532,0.4334763948497854,0.16676238070848862,-0.03927806016115098,-0.025772428482815146
event,year,2026,trend_score,ret_net_pct,163,-0.014497835139524032,-0.044810532142613775,0.4785276073619632,0.1490859120579365,-0.01526674667027442,-0.013738300578660838
event,year,2015,trend_score,fwd20,85,-0.02098497363671998,-0.0479021653577133,0.5529411764705883,0.11006976242283614,0.024196037570746714,-0.06511526365331535
event,year,2016,trend_score,fwd20,90,-0.0024136027410456887,-0.005575252973891773,0.4666666666666667,0.11466268224696406,0.005636651510358897,-0.01046385699245028
event,year,2017,trend_score,fwd20,120,0.015462671960607015,0.038417126143268324,0.5416666666666666,0.13706223142468413,0.018247273797323472,0.012678070123890568
event,year,2018,trend_score,fwd20,108,-0.056491052777206736,-0.1571948114053239,0.48148148148148145,0.12645206071414092,-0.07947367392030721,-0.03350843163410625
event,year,2019,trend_score,fwd20,125,-0.026346049353775765,-0.07056535623285554,0.408,0.13224133528905302,-0.02308774745470664,-0.029552632175081896
event,year,2020,trend_score,fwd20,208,0.02047379738361203,0.07125272251406672,0.5961538461538461,0.15227375309438615,-0.021174753186461184,0.06212234795368524
event,year,2021,trend_score,fwd20,236,-0.04102540279905359,-0.14681556739851956,0.423728813559322,0.1315056497149642,-0.014641988994198099,-0.06740881660390907
event,year,2022,trend_score,fwd20,224,-0.06148252124257158,-0.20122536162778634,0.44642857142857145,0.15576346808648528,-0.0482580942772971,-0.07470694820784606
event,year,2023,trend_score,fwd20,233,0.011753513404400019,0.04008620098148059,0.5150214592274678,0.14142165968859213,0.0015312698535183142,0.02188838735228273
event,year,2024,trend_score,fwd20,217,-0.04085611202537689,-0.1333069075185707,0.391705069124424,0.14595135091497613,0.03139990193994683,-0.11244922678000956
event,year,2025,trend_score,fwd20,233,-0.014047661548955273,-0.05072240948038434,0.4892703862660944,0.15117860651332088,-0.034548781223401485,0.0062782348804101985
event,year,2026,trend_score,fwd20,144,-0.0036697813071554664,-0.012574467140348598,0.4583333333333333,0.1385756801626927,0.02470569652277153,-0.03204525913708246
event,year,2015,price_direction,ret_net_pct,85,0.018520457116198756,0.04609805675466777,0.49411764705882355,0.12244230594771828,0.07125719132766804,-0.03298984141593402
event,year,2016,price_direction,ret_net_pct,90,-0.021851927577408493,-0.05783297710894055,0.4777777777777778,0.12185229611053884,-0.07603734718689625,0.03233349203207926
