feature,slip_low,slip_mid,slip_high
trend_score,0.0073136104440723,0.007237064219080462,0.007489524287475709
price_direction,0.007718485885549963,0.007969610276703237,0.008100560295893887
er,0.0013826316941043782,0.001228796234433986,0.0015083164887682607
confidence,0.004445764217700957,0.004291281026610741,0.004512083526157399
bias_atr,0.006707256952658555,0.006396676495595659,0.006323129913496744
atr_pct,0.015356996432401855,0.015153478646999634,0.015343583822095374
ret20,0.006860894194867852,0.006748515652024174,0.006679160455414632
macd_hist_norm,0.009457792909596245,0.009456409032603698,0.009166130271270344
days_in_golden,,,
