kind,target,feature,topk,days,day_equal_pp,pp_weighted_pp,win_day_pct,bottom_day_equal_pp,top_minus_bottom_pp,half1_day_equal_pp,half2_day_equal_pp,verdict
state,ret_net_pct,trend_score,3,2666,0.006300499001153059,0.013548987324688466,0.41522880720180044,-0.0005796254805416893,0.006880124481694745,-0.0009139432371485187,0.013013430410434396,分半异号
state,ret_net_pct,price_direction,3,2666,0.013144636276910216,0.021981165499232517,0.43285821455363843,-0.0021469883125071563,0.015291624589417374,0.0055580751676605105,0.020203818771758787,★稳健为正
state,ret_net_pct,confidence,3,2666,0.004875183119572496,0.013186972084633566,0.40397599399849965,-0.0004677830877259947,0.005342966207298491,-0.0031317787573200227,0.012325542288150982,分半异号
state,ret_net_pct,er,3,2666,0.006529620894993886,0.011244650580407469,0.4212303075768942,-0.0014793837726631144,0.008009004667657001,0.006567241062811561,0.00649461588728519,★稳健为正
state,ret_net_pct,vol_ratio,3,2666,-0.005583344743113462,-0.0015710221079771115,0.3668417104276069,0.005300663885593377,-0.010884008628706839,-0.015113300871814197,0.003284137968965063,分半异号
state,ret_net_pct,bias_atr,3,2666,0.009739365086861431,0.02096508657604671,0.40922730682670666,-0.00019246970512840918,0.00993183479198984,-0.00019156281360968358,0.018979946080420723,分半异号
state,ret_net_pct,atr_pct,3,2666,0.015286428264731018,0.026189833150735326,0.39047261815453865,-0.009897419846201466,0.025183848110932484,0.0006497644947630556,0.028905626631428216,★稳健为正
state,ret_net_pct,ret20,3,2666,0.009760092456548264,0.0219976105967471,0.36196549137284323,0.0007444635069037672,0.009015628949644496,-0.003630929303133643,0.02222023942337755,分半异号
state,ret_net_pct,ret60,3,2657,0.003652150454503551,0.015349045463722797,0.3673315769665036,0.0034847136659785626,0.0001674367885249889,-0.002702451961949888,0.009523600623507593,分半异号
state,ret_net_pct,dist_ma200,3,2639,0.004483274131007099,0.0016444665866839053,0.3971201212580523,-0.0013332413241714013,0.005816515455178499,0.010641558264335516,-0.0011265169187591225,分半异号
state,ret_net_pct,macd_hist_norm,3,2666,0.011159844192617459,0.02365479615301824,0.3765941485371343,-0.0032335617345800294,0.014393405927197489,0.0010735591716678713,0.020544982680611824,★稳健为正
state,ret_net_pct,days_in_golden,3,2652,-0.005064128939335302,-0.0033124291326614686,0.3469079939668175,0.005775890053379821,-0.01084001899271512,-0.009923252579922208,-0.0005920462838784141,☆一致为负
state,ret_net_pct,trend_age,3,2653,-0.006594428046853123,-0.0013853221591136717,0.35092348284960423,0.0028185680632406116,-0.009412996110093733,-0.007787080282220865,-0.00549590984020014,☆一致为负
state,fwd20,trend_score,3,2646,0.004847774049771082,0.011787099629022075,0.45691609977324266,0.0009019900802091425,0.003945783969561941,0.001484217459068998,0.008023505290808686,★稳健为正
state,fwd20,price_direction,3,2646,0.008097032422127276,0.01453480586175546,0.46220710506424795,-0.0023427378624466606,0.010439770284573938,0.004466394754914357,0.011524930586982972,★稳健为正
state,fwd20,confidence,3,2646,0.003154962674875371,0.009736910606167621,0.4501133786848073,-0.0028464051491755107,0.006001367824050881,-0.0016844361553364335,0.007724123216258304,分半异号
state,fwd20,er,3,2646,0.006838275787400814,0.009800334306639779,0.47467876039304613,-0.00345774623219747,0.010296022019598285,0.006055819023165188,0.007577039154074423,★稳健为正
state,fwd20,vol_ratio,3,2646,-0.0055258607830779745,-0.0024874235852282564,0.4013605442176871,0.003484553877821679,-0.009010414660899652,-0.011295446078776437,-7.845659132740548e-05,☆一致为负
state,fwd20,bias_atr,3,2646,0.005452946355524604,0.01501986141150107,0.455026455026455,0.001094186515827888,0.004358759839696715,-0.002032063332392203,0.012519983423102192,分半异号
state,fwd20,atr_pct,3,2646,0.012856917967872722,0.023234350438152234,0.45918367346938777,-0.00659696953893162,0.01945388750680434,-0.00372245951772981,0.028510481574778868,分半异号
state,fwd20,ret20,3,2646,0.007946789882171306,0.02064837520187284,0.4463340891912321,0.0023611400071053626,0.005585649875065946,-0.0054385229097054484,0.0205846494983077,分半异号
state,fwd20,ret60,3,2637,-0.00035654241870340935,0.008930785357200762,0.4353431930223739,0.0075429731028464,-0.00789951552154981,-0.008355428709518919,0.007142780804720978,分半异号
state,fwd20,dist_ma200,3,2619,0.0027375543904954503,0.002697113163231257,0.46773577701412755,0.005512424553233705,-0.0027748701627382513,0.004821245052661953,0.0008115567027618299,★稳健为正
state,fwd20,macd_hist_norm,3,2646,0.004555399344137892,0.012385974957534093,0.4429327286470144,-0.004419825485437673,0.008975224829575567,0.0007617778938151747,0.00813718006688932,★稳健为正
state,fwd20,days_in_golden,3,2632,-0.010307198509312278,-0.009522303647136991,0.3768996960486322,0.003960491949012022,-0.014267690458324302,-0.014791233715163225,-0.0061196828982641146,☆一致为负
state,fwd20,trend_age,3,2633,-0.0015114237947859348,0.0032064362570940414,0.44701860995062664,0.0013753034377383896,-0.0028867272325243257,-0.0050441865113808205,0.0017903206398273586,分半异号
event,ret_net_pct,trend_score,3,1555,0.007237064219080462,0.005550337467284304,0.42958199356913185,-0.00456072035186177,0.011797784570942233,0.00708764548619843,0.007290922939944327,★稳健为正
event,ret_net_pct,price_direction,3,1555,0.007969610276703235,0.00766751122748771,0.43729903536977494,-0.00501546173276066,0.012985072009463895,0.0018212926237507977,0.010185801766656346,★稳健为正
event,ret_net_pct,confidence,3,1555,0.004291281026610743,0.002277425240278237,0.43536977491961415,-0.0013594775492592943,0.005650758575870036,0.007621197252284909,0.0030909962628506748,★稳健为正
event,ret_net_pct,er,3,1555,0.0012287962344339858,0.00015449507802413264,0.41286173633440515,-4.714800230130887e-05,0.0012759442367352954,0.0099302837910661,-0.001907697967956592,分半异号
event,ret_net_pct,vol_ratio,3,1555,0.004057426215087532,0.002575190812521462,0.42186495176848876,-0.003833787590244354,0.007891213805331886,-0.00506979141705446,0.0073473769276356515,分半异号
event,ret_net_pct,bias_atr,3,1555,0.006396676495595658,0.006466391241821711,0.4257234726688103,-0.004222041245965439,0.0106187177415611,0.00972498119811969,0.0051969726133210305,★稳健为正
